"Source:","C:\Users\HPz420\Documents\GitHub\land-boards\lb-boards\Arduino Cards\ArduinoInABox\ArduinoInABox.kicad_sch"
"Date:","5/21/2022 12:16:54 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BRD1","MINI-360","LandBoards_Cards:MINI-360","LandBoards_BoardOutlines:MINI-360",""
"","","C1","10uF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"","","C2","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C3","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C4","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C5","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C6","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C7","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","C8","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","J1","OLED_I2C","Connector_Generic:Conn_01x04","LandBoards_BoardOutlines:OLED-091in","~"
"","","J2","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"","","J3","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"","","J4","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J5","Conn_02x13_Odd_Even","Connector_Generic:Conn_02x13_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical","~"
"","","J6","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J7","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J8","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J9","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"","","J99","DCJ0202","LandBoards_Conns:DCJ0202","LandBoards_Conns:DCJ-NEW-Slotted",""
"","","L1","L_Small","Device:L_Small","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","L2","L_Small","Device:L_Small","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","MTG1","MTG_HOLE","LandBoards_Conns:MTG_HOLE","LandBoards_MountHoles:MTG-4-40",""
"","","MTG2","MTG_HOLE","LandBoards_Conns:MTG_HOLE","LandBoards_MountHoles:MTG-4-40",""
