Qty,Value,RefDes,,Qty,Value,RefDes
4,0.1uF,"C2,C4-C6",,1,CONN_01X03,H1
1,10uF,C3,,4,CONN_01X03,"H3,H4,H5,H6"
1,FTDI_Module,P3,,1,CONN_02X03,H9
8,10K,"R1,R4,R7,R10,R13,R16-R18",,1,HEADER_T,H2
10,2.2K,"R2,R3,R5,R6,R8,R9,R11,R12,R14,R15",,1,CONN_01X02,J4
1,SW_Push,SW1,,1,Conn_01x04,J7
1,SW_SPDT,SW2,,1,CONN_01X02,P2
1,AP1117,U2,,4,CONN_01X05,"P4,P5,P6,P7"
1,Black-Pill,U1,,1,CONN_01X16,P12
1,PCA9544A,U3,,1,CONN_01X18,P13
1,DCJ0202,J1,,1,CONN_02X16,P11
,,,,1,CONN_02X18,P14
,,,,1,Conn_02x03_Odd_Even,P8
,,,,1,Conn_02x04_Odd_Even,P1
