Qty,Value,RefDes,,Qty,Value,RefDes
4,0.1uF (0805),"C2,C4-C6",,5,"HDR, STRT, 1X3","H1,H3-H6"
1,10uF (1206),C3,,1,"HDR, STRT, 2X3",H9
8,10K (0805),"R1,R4,R7,R10,R13,R16-R18",,1,"HDR, STRT, T",H2
10,2.2K (0805),"R2,R3,R5,R6,R8,R9,R11,R12,R14,R15",,1,"HDR, STRT, 1X2",J4
1,"SW_Push, 6MM",SW1,,1,"HDR, STRT, 1x4",J7
1,SW_SPDT (0.1”),SW2,,1,"HDR, STRT, 1X2",P2
1,AP1117-3.3V,U2,,4,"HDR, STRT, 1X5",P4-P7
1,PCA9544A,U3,,1,"HDR, STRT, 1X16",P12
1,FTDI_Module,"P3 (FEMALE 1X9, 2 CONNS)",,1,"HDR, STRT, 1X18",P13
,,,,1,"HDR, STRT, 2X16",P11
,,,,1,"HDR, STRT, 2X18",P14
,,,,1,"HDR, STRT, 2x3",P8
,,,,1,"HDR, STRT, 2x4",P1
,,,,1,DCJ0202,J1
