0.1uF,1,"C2",SM0805,Murata,GRM155F51E104ZA1J ,Mouser,81-GRM155F51E104ZA1J 
10uF,1,"C1",SM1210,Yaego,CC121ZKY5V8BB106,Mouser,603-CC121ZKY5V8BB106
CONN_2X2,1,"H2",PIN_ARRAY_2X2
CONN_3,1,"H1",PIN_ARRAY_3X1,FCI,68002-103HLF,Mouser,649-68002-103HLF
USB-B,1,"J1",J1,Hirose,UX60SC-MB-5ST(80),Mouser,798-UX60SC-MB-5ST80 
CONN_1,1,"MTG1",MTG-4-40,N/A,N/A,N/A,N/A
CONN_1,1,"MTG2",MTG-4-40
CONN_6,1,"P1",PIN_ARRAY-6X1,FCI,68002-106HLF,Mouser,649-68002-106HLF
270,1,"R1",SM0805,TE,CRG0805F270R,Mouser,279-CRG0805F270R
270,1,"R2",SM0805
FT230XS,1,"U1",ssop-16
