          0.1uF,  3,         SM0805,"C2, C3, C5",Mouser,581-08055C104KAT9A 
            10K,  1,         SM0805,"R9",Mouser,260-10K-RC
           10uF,  1,         SM1210,"C4",Mouser,581-0805YD106K 
          16MHz,  1,     RESON_3PIN,"X1",Mouser,81-CSTLS16M0X51-A0
            1uF,  1,         SM0805,"C1",Mouser,77-VJ0805Y105MXQTBC
             22,  2,         SM0805,"R1, R2",Mouser,260-22-RC 
            270,  1,         SM0805,"R3",Mouser,652-CR0805JW-271ELF
         AP1117,  1,         SOT223,"U2",Mouser,621-AP1117Y50G-13
  ATMEGA32U4-AU,  1,         TQFP44,"U1",Mouser,556-ATMEGA32U4-AU
         CONN_1,  4,       MTG-4-40,"MTG1, MTG2, MTG3, MTG4", N/A,4-40 Hole
         CONN_2,  3,               ,"J4, J29, J30",Mouser,649-93287-202HLF
         CONN_3,  1,  PIN_ARRAY_3X1,"J28",Mouser,649-69190-103HLF 
           FUSE,  1,         SM1206,"F1",Mouser,504-PTS120615V050
            GVS, 25,  PIN_ARRAY_3X1,"J2, J3, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27",Mouser,649-69190-103HLF 
            LED,  1,       LED-0805,"DS2",Mouser,859-LTST-C170KRKT
          USB-B,  1,     USB-B-MINI,"J1",Mouser,798-UX60SC-MB-5ST80
