0.1uF,5,"C2 C3 C5 C6 C7",SM0805,Mouser,581-08055C104KAT9A 
1uF,1,"C1",SM0805,Mouser,77-VJ0805Y105MXQTBC
10uF,1,"C4",SM1210,Mouser,581-0805YD106K 
REV_BLOCK,1,"COUP1",REV_BLOCK
LED,1,"DS2",LED-0805,Mouser,859-LTST-C170KRKT
FUSE,1,"F1",SM1206,Mouser,504-PTS120615V050
CONN_2,1,"J8",
CONN_2,1,"J30",,Mouser,649-93287-202HLF
CONN_2,1,"J29",PIN_ARRAY_2X1,Mouser,649-93287-202HLF
GVS,25,"J2 J3 J4 J5 J6 J7 J9 J10 J11 J12 J13 J14 J15 J16 J17 J18 J19 J20 J21 J22 J23 J24 J25 J26 J27",PIN_ARRAY_3X1,Mouser,649-69190-103HLF 
CONN_3,1,"J28",PIN_ARRAY_3X1,Mouser,649-69190-103HLF 
USB-B,1,"J1",USB-B-MINI,Mouser,798-UX60SC-MB-5ST80
CONN_1,4,"MTG1 MTG2 MTG3 MTG4",MTG-4-40,N/A,4-40 Hole
22,1,"R1",SM0805,Mouser,260-22-RC
22,1,"R2",SM0805,Mouser,260-22-RC 
270,1,"R3",SM0805,Mouser,652-CR0805JW-271ELF
10K,1,"R4",
10K,1,"R9",SM0805,Mouser,260-10K-RC
AP1117,1,"U2",SOT223,Mouser,621-AP1117Y50G-13
ATMEGA32U4-AU,1,"U1",TQFP44,Mouser,556-ATMEGA32U4-AU
16MHz,1,"X1",RESON_3PIN,Mouser,81-CSTLS16M0X51-A0
