0.1uF	6	C1 C3 C6 C7 C8 C9	Vishay	1C10Z5U104M050B	Mouser	75-1C10Z5U104M050B
0.1uF	1	C5	Mouser	1C10Z5U104M050B	Mouser	75-1C10Z5U104M050B
10uF	2	C2 C4	LELON	REA100M1EBK-0511P	MOUSER	140-REA100M1EBK0511P
1N4004	1	D1	FAIRCHILD	1N4004	MOUSER	512-1N4004
CONN_4	1	JP8	FCI	 68602-404HLF 	MOUSER	 649-68602-404HLF 
CONN_6	1	JP1	FCI	68602-406HLF	Mouser	649-68602-406HLF
CONN_3	1	JP2	FCI	 69190-403 	MOUSER	 649-69190-403 
CONN_3X2	1	JP3	3m	929836-09-03 	MOUSER	 517-929836-09-03 
CONN_8	2	JP4 JP7	PHOENIX CONTACT	1935226	MOUSER	 651-1935226
CONN_8	1	JP5	PHOENIX CONTACT	1935226	MOUSER	 651-1935226 
CONN_8	1	JP6	PHOENIX CONTACT	 651-1935226	MOUSER	 651-1935226
JACK-3.5MM	1	K1	KOBICONN	 163-179PH-EX	MOUSER	 163-179PH-EX
10K	2	R1 R2	VISHAY	 CMF5510K000FKEK 	MOUSER	 71-CMF5510K000FKEK 
10K	1	R3	VISHAY	 CMF5510K000FKEK	MOUSER	 71-CMF5510K000FKEK
SW_PUSH_OMRON	1	SW1	E-SWITCH	TL1105DF100Q 	MOUSER	612-TL1105DF100Q 
ATMEGA328-P	1	U1	ATMEL	ATMEGA328P-PU	MOUSER	 556-ATMEGA328P-PU
AP1117	1	U2	TI	TLV1117-50CDCYR	MOUSER	595-TLV1117-50CDCYR
16MHz	1	X1	MURATA	 CSTLS16M0X51-A0	MOUSER	81-CSTLS16M0X51-A0
CONN_1	4	MTG1 MTG2 MTG3 MTG4				
