"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref"
1;"D1";"D4";1;"1N4001";
2;"U1";"DIP-28__300_ELL";1;"ATMEGA8-P";
3;"R3,R2,R1";"R3-5";3;"10K";
4;"JP2";"SIL-2";1;"CONN_2";
5;"JP8";"SIL-4";1;"CONN_4";
6;"JP1";"SIL-6";1;"CONN_6";
7;"JP7,JP6,JP5,JP4";"SIL-8";4;"CONN_8";
8;"U2";"SOT223";1;"AP1117";
9;"JP3";"pin_array_3x2";1;"CONN_3X2";
10;"J1";"JACK_ALIM";1;"CONN_3";
11;"X1";"CERAMIC_FILTER";1;"16MHz";
12;"C4,C2";"C1V5";2;"10uF";
13;"C9,C8,C1,C7,C6,C5";"C1";6;"0.1uF";
14;"SW1";"SW_PUSH";1;"SW_PUSH";
15;"C3";"C1";1;"0,1uF";
