Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
1,BEAGLEBONE,BRD1,BEAGLEBONE,N/A,N/A,N/A,N/A
4,104,"C1,C2,C4,C5",SM0805,N/A,N/A,N/A,N/A
1,u1,C3,SM0805,N/A,N/A,N/A,N/A
2,LED,"D1,D2",SM0805,N/A,N/A,N/A,N/A
2,CONN_1,"FID1,FID2",FIDUCIAL,N/A,N/A,N/A,N/A
2,FUSE,"F1,F2",SM1206,N/A,N/A,N/A,N/A
1,"""ADR SEL""",J24,PIN_ARRAY_2X2,N/A,N/A,N/A,N/A
1,CONN_2,J33,PIN_ARRAY_2X1,N/A,N/A,N/A,N/A
27,CONN_3,"J1,J10,J14,J15,J17,J18,J19,J2,J20,J21,J22,J23,J25,J26,J27,J28,J29,J3,J30,J31,J32,J4,J5,J6,J7,J8,J9",PIN_ARRAY_3X1,N/A,N/A,N/A,N/A
4,CONN_4,"J11,J12,J13,J16",PIN_ARRAY_4x1,N/A,N/A,N/A,N/A
1,120,R4,SM0805,N/A,N/A,N/A,N/A
1,330,R3,SM0805,N/A,N/A,N/A,N/A
6,5.6K,"R1,R2,R5,R6,R7,R8",SM0805,N/A,N/A,N/A,N/A
1,CAT24C256,U3,SO8E-wider,N/A,N/A,N/A,N/A
1,TXB0108EPWR,U2,SOG20,N/A,N/A,N/A,N/A
1,TXS0108EPWR,U4,SOG20,N/A,N/A,N/A,N/A
