QTY,REFERENCE,DESCRIPTION,MANU,PART NUMBER,REV PROD_C3
1,,"Cable,USB A Male to MINI USB B Male,80CM,,2725 28AWG/1P+24AWG/2C",GLJ,GLJ-C4-1304,Assembly marked as RevC3
,,"Cable,USB A Male to MINI USB B Male,100CM",LingLongDa,321010005,
1,,ESD Bag,3M,10035,3/24/13
1,,BOX BB-Black Industrial box_RevC1_135x99x39mm,Opung,BOX BB-Black Industrial box_RevC1_135x99x39mm,
2,,"PU Foam,12KG/m3; 125x95x8mm,black",Oupang,"PU Foam,12KG/m3; 125x95x8mm,black",
1,,BB-Black Industrial Quick Start_revc_185x125mm_128gsm bond paper,Opung,BB-Black Industrial Quick Start_revc_185x125mm_128gsm bond paper,
1,PCB1,"PCB;BeagleBone Black Industrial PCB RevC1-Red Soldermask,white Silkscreen-6 layers,Immersion gold-86.36*54.61*1.6mm",Various,BeagleBone Black Industrial RevC PCB,
24,"C1,C2,C4,C7,C8,C9,C10,C11,C12,C13,C14,C15,C39,C40,C55,C62,C77,C95,C96,C118,C122,C126,C133,C153",CAP CER 10UF 10V Y5V 0805,Samsung,CL21A106KOQNNNE,
6,"C89,C90,C91,C104,C106,C134",CAP CER 1UF 6.3V 10% X5R 0402,YAGEO,CC0402KRX5R6BB105,
8,"C16,C17,C18,C125,C144,C146,C148,C151",CAP CER 2.2UF 6.3V 10% X5R 0402,YAGEO,CC0402KRX5R6BB225,
2,"C19,C136",CAP CER 470PF 50V 10% X7R 0402,Yageo,CC0402KRX7R9BB471,
100,"C3,C20,C23,C27,C28,C29,C30,C31,C33,C35,C36,C37,C38,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C56,C57,C58,C59,C60,C61,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C92,C93,C94,C97,C98,C99,C100,C101,C102,C103,C105,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C119,C120,C121,C124,C127,C128,C129,C130,C131,C132,C135,C145,C147,C149,C150,C152,C154,C155,C158,C159",CAP CER 0.1UF 6.3V 10% X5R 0402,YAGEO,CC0402KRX7R7BB104,
4,"C21,C22,C25,C26",CAP CER 18PF 50V C0G 5% 0402,YAGEO,CC0402JRNPO9BN180,
2,"C32,C123",CAP_CER_0.001UF_16V_X7R_0402,Yageo,CC0402KRX7R9BB102,
1,C34,Aluminum Electrolytic Capacitors - SMD 100uF 6.3V 85C,ST,CS1A101M-CRE54,
1,C141,CAP CER 0.022UF 10V 10% X7R 0402,YAGEO,CC0402KRX7R9BB223,
2,"C142,C143",CAP CER 30PF 50V 5% NP0 0402,YAGEO,CC0402JRNPO9BN330,
16,"C156,C157,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173",CAP CER 47PF 50V 5% NPO 0402,Yageo,CC0402JRNPO9BN470,
4,"C137,C138,C139,C140",CAP CER 10PF 50V 5% NPO 0402,YAGEO,CC0402JRNPO9BN100,
1,C174,CAP CER 4.7UF 10V 10% X5R 0402,YAGEO,CC0402KRX5R6BB475,
5,"D1,D2,D3,D4,D5",LED BLUE CLEAR THIN 0603 SMD,Everlight,19-217/BHC-ZL1M2RY/3T,
2,"D6,D7",DIODE ESD PROT HDMI TSSOP-10,TI,TPD4S009DGSR,
1,D8,DIODE SCHOTTKY 40V 120MA SOD-323,NXP,"RB751V40,115",
6,"FB1,FB2,FB3,FB4,FB5,FB7",Ferrite Bead 150 Ohm 800mA,Laird-Signal Integrity,LI0805H151R-10,
3,"S1,S2,S3",SWITCH TACTILE SPST-NO 0.05A 32V,C&K,KMR231GLFS,
