10pF,1,"C21",SM0805,Vishay,VJ0805A100GXXPW1BC,Mouser,77-VJ0805A100GXXPBC,56DR0-VJ0805A100GXXPW1BC
18pF,2,"C9 C10",SM0805,Vishay,VJ0805A180GXACW1BC,Mouser,77-VJ0805A180GXACBC,56DR0-GRM2165C1H200JZ01J
10nF,2,"C3 C5",SM0805,Vishay,VJ0805Y103JXBAC,Mouser,77-VJ0805Y103JXBAC,56DR0-VJ0805Y103JXBAC
0.1uF,4,"C1 C2 C6 C7",SM0805,AVX,08055C104MAT2A,Mouser,581-08055C104M,6KUV2-08055C104MAT2A
1uF,3,"C11 C16 C20",SM1210,TDK,C3216X7R2A105K,Mouser,810-C3216X7R2A105K,1ZFM7-C3216X7R2A105K
10uF,2,"C13 C17",SM1210,Kemet,C1206C106K3PACTU,Mouser,80-C1206C106K3P,31433-C1206C106K3PACTU
.33uF,1,"C22",SM0805,Vishay,VJ0805V334ZXACW1BC,Mouser,77-VJ0805V334ZXACBC,56DR0-VJ0805V334ZXACW1BC
REV_BLK,1,"COUP1",REV_BLOCK
SN_BLK,1,"COUP2",REV_BLOCK
LED,1,"DS4",SM0805,Lite-On,LTST-C170KRKT,Mouser,859-LTST-C170KRKT,0APZ0-LTST-C170KRKT
MPZ2012S101A,1,"FB3",SM0805,TDK,MPZ2012S101A,Mouser,810-MPZ2012S101A,1ZFM7-MPZ2012S101A
CONN_1,2,"FID1 FID2",FIDUCIAL
CONN_6,1,"H2",PIN_ARRAY-6X1
CONN_2,1,"H1",PIN_ARRAY_2X1,FCI,93287-202HLF,Mouser,649-93287-202HLF,22526-93287-202HLF
CONN_4,1,"H3",PIN_ARRAY_4x1
USB-B,1,"J1",USB-B-MINI,Hirose Connector,UX60SC-MB-5ST(80),Mouser,798-UX60SC-MB-5ST80,0AG18-UX60SC-MB-5ST(80)
CONN_1,4,"MTG1 MTG2 MTG3 MTG4",MTG-4-40
BNC,1,"P1",BNC-RT,Amphenol,31-5431-10RFX,Mouser,523-31-5431-10RFX,50NX5-31-5431-10RFX
CONN_2,1,"P3",SMA_EDGE,Emerson Connectivity,142-0701-801,Mouser,530-142-0701-801,34078-142-0701-801
CONN_2,1,"P2",TB2-5MM,TE,282836-2,Mouser,571-2828362,00779-282836-2
001,1,"R10",SM0805,Vishay,CRCW080550R0FKTA,Mouser,71-CRCW0805-50,56DR0-CRCW080550R0FKTA
20,1,"R8",SM0805,Bourns,CR0805-JW-200ELF,Mouser,652-CR0805JW-200ELF,80294-CR0805-JW-200ELF
22,2,"R3 R4",SM0805,Bourns,CR0805-FX-22R0GLF,Mouser,652-CR0805-FX22R0GLF,80294-CR0805-FX-22R0GLF
150,1,"R13",SM0805,Bourns,CR0805-FX-1500ELF,Mouser,652-CR0805FX-1500ELF,80294-CR0805-FX-1500ELF
3.3K,2,"R2 R5",SM0805,Bourns,CR0805-FX-3301GLF,Mouser,652-CR0805-FX3301GLF,80294-CR0805-FX-3301GLF
82K,1,"R9",SM0805,Bourns,CR0805-JW-823ELF,Mouser,652-CR0805JW-823ELF,80294-CR0805-JW-823ELF
510K,1,"R7",SM0805,Bourns,CR0805-JW-514ELF,Mouser,652-CR0805JW-514ELF,80294-CR0805-JW-514ELF
100K,1,"RV1",POT-5X10MM,Murata,PV36X104C01B00,Mouser,81-PV36X104C01B00,SS898-PV36X104C01B00
CONN_1,1,"TP7",PIN_ARRAY_1
25.000MHz,1,"U2",OSC-ACHL,ECS,ECS-2100AX-25.0MHZ,Mouser,520-TCH2500-X,3KDW2-ACH-25.000MHZ-EK
OPA357-MSOP8,1,"U7",HSOP-8,Texas Instruments,OPA357AIDDA,Mouser,595-OPA357AIDDA,33809-OPA357AIDDA
AD9833,1,"U1",MSOP10-0.5,Analog Devices,AD9833BRMZ,Mouser,584-AD9833BRMZ,34031-AD9833BRMZ
TLV1117-50CDCYR,2,"U4 U6",SOT223,TI,TLV1117-50CDCYR,Mouser,595-TLV1117-50CDCYR,33809-TLV1117-50CDCYR
ATMEGA32U4,1,"U3",TQFP44,Atmel,ATMEGA32U4-AU,Mouser,556-ATMEGA32U4-AU,0HSW3-ATMEGA32U4-AU
16MHz,1,"X1",crystal-HC49UP,CTS-Electronic Components,ATS16BSM-1,Mouser,774-ATS16BSM-1,1D3Q0-ATS16BSM-1
