Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
4,10nF,",C4,C5,C9",Capacitors_SMD:C_0805_HandSoldering,N/A,N/A,N/A,N/A
1,10uF,C8,Capacitors_SMD:C_0805_HandSoldering,N/A,N/A,N/A,N/A
2,1uF,"C6,C7",Capacitors_SMD:C_0805_HandSoldering,N/A,N/A,N/A,N/A
2,2.2nF/1kV,"C1,C2",Resistors_SMD:R_1206_HandSoldering,N/A,N/A,N/A,N/A
1,LED,D1,LEDs:LED-3MM,N/A,N/A,N/A,N/A
1,BNC,J2,dougsLib:BNC-RT,N/A,N/A,N/A,N/A
2,CONN_01X02,"J1,J3",dougsLib:TB2-5MM,N/A,N/A,N/A,N/A
4,MTG_HOLE,"MTG1,MTG2,MTG3,MTG4",Mounting_Holes:MountingHole_3.2mm_M3,N/A,N/A,N/A,N/A
3,10K,"R4,R7,R8",Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
1,191K,R9,Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
1,4.99K,R6,Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
1,48.7,R12,Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
2,49.9K,"R1,R2",Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
1,499,R10,Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
1,54.9,R11,Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
2,549,"R3,R5",Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
1,75,R13,Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
1,SPST,SW1,Pin_Headers:Pin_Header_Straight_1x03,N/A,N/A,N/A,N/A
1,TESTED_COUPON,TESTED1,DougsNewMods:TEST_BLK-REAR,N/A,N/A,N/A,N/A
1,LT1761,U3,TO_SOT_Packages_SMD:SOT-23-5,N/A,N/A,N/A,N/A
3,LTC6268S6,"U1,U2",TO_SOT_Packages_SMD:SOT-23-6,N/A,N/A,N/A,N/A
