Qty	Value	RefDes	Footprint	Manufacturer	ManufacturerPN	Vendor	VendorPN
3	0.1uF	C1-C3	Capacitors_ThroughHole:C_Rect_L7_W2_P5	N/A	N/A	N/A	N/A
1	47uF	C4	Capacitors_ThroughHole:C_Radial_D5_L11_P2.5	N/A	N/A	N/A	N/A
1	FUSE	F1	SM1206	N/A	N/A	N/A	N/A
1	CONN_01X02	J5	Pin_Headers:Pin_Header_Straight_1x02	N/A	N/A	N/A	N/A
1	CONN_01X04	J4	Pin_Headers:Pin_Header_Angled_1x04	N/A	N/A	N/A	N/A
1	CONN_01X05	J1	Pin_Headers:Pin_Header_Angled_1x05	N/A	N/A	N/A	N/A
1	CONN_02X02	J3	Pin_Headers:Pin_Header_Angled_2x02	N/A	N/A	N/A	N/A
1	CONN_02X02	J6	Pin_Headers:Pin_Header_Straight_2x02	N/A	N/A	N/A	N/A
1	CONN_02X04	J2	Pin_Headers:Pin_Header_Angled_2x04	N/A	N/A	N/A	N/A
1	DB37	P1	Connect:DB37FC	N/A	N/A	N/A	N/A
5	10K	R1,R2,R3,R7,R8	Resistors_ThroughHole:Resistor_Horizontal_RM10mm	N/A	N/A	N/A	N/A
1	1K	R4	Resistors_ThroughHole:Resistor_Horizontal_RM10mm	N/A	N/A	N/A	N/A
2	2.2K	R5,R6	Resistors_ThroughHole:Resistor_Horizontal_RM10mm	N/A	N/A	N/A	N/A
1	24C01	U3	Housings_DIP:DIP-8_W7.62mm	N/A	N/A	N/A	N/A
3	MCP23017P	U1,U2	Housings_DIP:DIP-28_W7.62mm	N/A	N/A	N/A	N/A
