Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
2,MTG_HOLE,",MTG3",MTG-6-32,N/A,N/A,N/A,N/A
2,CONN_01X04,"P6,P7",Pin_Headers:Pin_Header_Angled_1x04,N/A,N/A,N/A,N/A
1,CONN_01X06,P8,Pin_Headers:Pin_Header_Angled_1x06,N/A,N/A,N/A,N/A
4,CONN_02X14,"P1,P2,P3,P4",Pin_Headers:Pin_Header_Straight_2x14,N/A,N/A,N/A,N/A
1,VGA,P5,w_conn_pc:DB_15F-VGA,N/A,N/A,N/A,N/A
2,470,"R1,R3",Resistors_ThroughHole:Resistor_Horizontal_RM10mm,N/A,N/A,N/A,N/A
1,480,R5,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,N/A,N/A,N/A,N/A
3,680,"R2,R4,R6",Resistors_ThroughHole:Resistor_Horizontal_RM10mm,N/A,N/A,N/A,N/A
1,TESTED_COUPON,TESTED1,DougsNewMods:TEST_BLK-REAR,N/A,N/A,N/A,N/A
1,AS6C1008,U1,Housings_DIP:DIP-32_W15.24mm,N/A,N/A,N/A,N/A
