P3-Pin,Port,Pin,P3-Port
1,NC,2,GND
3,59,4,60
5,64,6,65
7,66,8,67
9,68,10,69
11,70,12,71
13,72,14,73
15,74,16,75
17,76,18,77
19,80,20,83
21,84,22,85
23,NC,24,GND
25,86,26,87
27,98,28,99
29,100,30,101
31,103,32,104
33,105,34,106
35,110,36,111
37,112,38,113
39,114,40,115
41,119,42,120
43,121,44,124
P4-Pin,Port,Pin,P4-Port
1,GND,2,NC
3,55,4,58
5,53,6,54
7,51,8,52
9,49,10,50
11,44,12,46
13,42,14,43
15,38,16,39
17,33,18,34
19,31,20,32
21,28,22,30
23,GND,24,NC
25,10,26,11
27,3,28,7
29,5,30,2
31,143,32,144
33,141,34,142
35,137,36,138
37,135,38,136
39,132,40,133
41,128,42,129
43,126,44,127
