"Pin Information for the Cyclone® IV EP4CE6 Device
 Version 1.2   
Notes (1), (2), (3)"																						
Bank Number	VREFB Group	Pin Name / Function	Optional Function(s)	Configuration Function	"F256/
U256"	E144 (4)	DQS for X8/X9 in F256/U256 	DQS for X16/X18 in F256/U256	DQS for X8/X9 in E144			
B1	  VREFB1N0	  IO	   	   	  D4	1	   	   	   			
B1	  VREFB1N0	  IO	   	   	  E5	2	   	   	   			
B1	  VREFB1N0	  IO	   	   	  F5	3	   	   	   			
B1	  VREFB1N0	  IO	   	   	  B1	   	  DQS2L/CQ3L	  DQS2L/CQ3L	  DQS2L/CQ3L			
B1	  VREFB1N0	  IO	  DIFFIO_L1p	   	  C2	   	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L1n	"  DATA1,ASDO"	  C1	6	   	   	   			
B1	  VREFB1N0	  IO	  VREFB1N0	   	  F3	7	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L2p	"  FLASH_nCE,nCSO"	  D2	8	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L2n	   	  D1	   	   	   	   			
B1	  VREFB1N0	  nSTATUS	   	  nSTATUS	  F4	9	   	   	   			
B1	  VREFB1N0	  IO	   	   	  G5	   	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L3p	   	  F2	   	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L3n	   	  F1	   	   	   	   			
B1	  VREFB1N0	  IO	  DIFFIO_L4p	   	  G2	10	"  DQS0L/CQ1L,DPCLK0"	"  DQS0L/CQ1L,DPCLK0"	"  DQS0L/CQ1L,DPCLK0"			
B1	  VREFB1N0	  IO	  DIFFIO_L4n	   	  G1	11	   	   	   			
B1	  VREFB1N0	  DCLK	   	  DCLK	  H1	12	   	   	   			
B1	  VREFB1N0	  IO	   	  DATA0	  H2	13	   	   	   			
B1	  VREFB1N0	  nCONFIG	   	  nCONFIG	  H5	14	   	   	   			
B1	  VREFB1N0	  TDI	   	  TDI	  H4	15	   	   	   			
B1	  VREFB1N0	  TCK	   	  TCK	  H3	16	   	   	   			
B1	  VREFB1N0	  TMS	   	  TMS	  J5	18	   	   	   			
B1	  VREFB1N0	  TDO	   	  TDO	  J4	20	   	   	   			
B1	  VREFB1N0	  nCE	   	  nCE	  J3	21	   	   	   			
B1	  VREFB1N0	  CLK1	  DIFFCLK_0n	   	  E1	23	   	   	   			
B2	  VREFB2N0	  CLK2	  DIFFCLK_1p	   	  M2	24	   	   	   			
B2	  VREFB2N0	  CLK3	  DIFFCLK_1n	   	  M1	25	   	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L5p	   	  J2	   	  DQ1L	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L5n	   	  J1	   	  DQ1L	   	   			
B2	  VREFB2N0	  IO	   	   	  J6	   	   	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L6p	   	  K6	   	   	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L6n	   	  L6	28	   	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L7p	   	  K2	   	   	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L7n	   	  K1	   	  DQ1L	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L8p	   	  L2	30	"  DQS1L/CQ1L#,DPCLK1"	"  DQS1L/CQ1L#,DPCLK1"	"  DQS1L/CQ1L#,DPCLK1"			
B2	  VREFB2N0	  IO	  DIFFIO_L8n	   	  L1	   	  DQ1L	   	   			
B2	  VREFB2N0	  IO	  VREFB2N0	   	  L3	31	   	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L9p	   	  N2	   	  DQ1L	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L9n	   	  N1	   	  DQ1L	   	   			
B2	  VREFB2N0	  IO	  RUP1	   	  K5	32	  DQ1L	   	   			
B2	  VREFB2N0	  IO	  RDN1	   	  L4	33	  DQ1L	   	   			
B2	  VREFB2N0	  IO	   	   	   	34	   	   	   			
B2	  VREFB2N0	  IO	   	   	  R1	   	  DQS3L/CQ3L#	  DQS3L/CQ3L#	  DQS3L/CQ3L#			
B2	  VREFB2N0	  IO	  DIFFIO_L10p	   	  P2	   	  DQ1L	   	   			
B2	  VREFB2N0	  IO	  DIFFIO_L10n	   	  P1	   	  DM1L/BWS#1L	   	   			
B3	  VREFB3N0	  IO	  DIFFIO_B1p	   	  N3	38	   	   	   			
B3	  VREFB3N0	  IO	  DIFFIO_B1n	   	  P3	39	  DM3B/BWS#3B	  DM5B/BWS#5B	   			
B3	  VREFB3N0	  IO	  DIFFIO_B2p	   	  R3	   	  DQ3B	  DQ5B	   			
B3	  VREFB3N0	  IO	  DIFFIO_B2n	   	  T3	   	   	   	   			
B3	  VREFB3N0	  IO	   	   	  T2	42	"  DQS1B/CQ1B#,DPCLK2"	"  DQS1B/CQ1B#,DPCLK2"	"  DQS1B/CQ1B#,DPCLK2"			
B3	  VREFB3N0	  IO	  PLL1_CLKOUTp	   	  R4	43	   	   	   			
