Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,12,"C1, C6-C9, C11-C15, C17-C20",[https://www.mouser.com/ProductDetail/STMicroelectronics/1N5819?qs=G5AQjGfRJcKKUy9S%252BaTHRQ%3D%3D 1N5819],,18,1,H1,"Header, Right Ang, 1x3"
2,2,"C2, C3",[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 47uF],,19,1,J1,[https://www.mouser.com/ProductDetail/490-SJ1-3523N AudioJack3_Ground_SwitchTR] * Note
3,2,"C4, C5",[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 47nF],,20,1,J2,PS2_DIN6
4,2,"C6, C9",[https://www.mouser.com/ProductDetail/75-1C10Z5U104M050B 0.1uF],,21,1,J3,"[https://www.mouser.com/datasheet/2/670/uj2-bh-th-1779177.pdf Conn, USB B]"
5,2,"C10, C16",10uF,,22,1,J4,[https://www.mouser.com/ProductDetail/587-634-015-274-906 634-015-274-906 (DB15HD)]
6,1,D1,[https://www.mouser.com/ProductDetail/STMicroelectronics/1N5819?qs=G5AQjGfRJcKKUy9S%252BaTHRQ%3D%3D 1N5819],,23,1,J5,[http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf SD_Card-Connector]
7,1,DS1,"LED, 5MM",,24,1,J6,Conn_02x07_Odd_Even
8,1,L1,"Ind, MI0805K601R-10 (0805)",,25,1,U1,QT_Py
9,5,"R1-R4, R21",[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 10K],,26,1,U2,[https://www.mouser.com/ProductDetail/Texas-Instruments/TXS0104ED?qs=7kv20MEVUlg5V59AplM5UA%3D%3D TXS0104EDR]
10,4,R5-R8,[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 2.2K],,27,1,U3,[https://www.mouser.com/ProductDetail/ISSI/IS62WV10248EBLL-45TLI?qs=uCnMRCNammlHlbXwB0OS3A%3D%3D IS62WV10248EBLL-45TLI]
11,5,"R9, R10, R22-R24",[https://www.mouser.com/ProductDetail/Xicon/270-1K-RC?qs=M%252BIfXg%252ByqRW9HfS5aQr9fw%3D%3D 1K],,28,1,U4,[https://www.onsemi.com/pdf/datasheet/ncp1117-d.pdf NCP1117ST33T3G]
12,2,"R11, R14",[https://www.mouser.com/ProductDetail/652-CR0805FX-4220ELF R3H],,,,,
13,2,"R12, R15",[https://www.mouser.com/ProductDetail/652-CR0805FX-4220ELF R3M],,,,,
14,2,"R13, R16",[https://www.mouser.com/ProductDetail/603-RC0805FR-07845RL R3L],,,,,
15,1,R17,[https://www.mouser.com/ProductDetail/652-CR0805FX-4220ELF R2H],,,,,
16,1,R18,[https://www.mouser.com/ProductDetail/603-RC0805FR-07845RL R2L],,,,,
17,2,"R19, R20",[https://www.mouser.com/ProductDetail/603-RC0805FR-07845RL 47],,,,,
