U8 PIN,EP4CE15/55,5CEFA2,10C1006,,U8 PIN,EP4CE15/55,5CEFA2,10C1006
1,GND,GND,GND,,2,GND,GND,GND
3,3.3V,3.3V,3.3V,,4,3.3V,3.3V,3.3V
5,GND,GND,GND,,6,GND,GND,GND
7,PIN_AA13,PIN_AA14,PIN_R9,,8,PIN_AB13,PIN_AA13,PIN_T9
9,PIN_AA14,PIN_AA15,PIN_R10,,10,PIN_AB14,PIN_AB15,PIN_T10
11,PIN_AA15,PIN_Y15,PIN_R11,,12,PIN_AB15,PIN_Y14,PIN_T11
13,PIN_AA16,PIN_AB18,PIN_R12,,14,PIN_AB16,PIN_AB17,PIN_T12
15,PIN_AA17,PIN_Y17,PIN_N9,,16,PIN_AB17,PIN_Y16,PIN_M9
17,PIN_AA18,PIN_AA18,PIN_M10,,18,PIN_AB18,PIN_AA17,PIN_P9
19,PIN_AA19,PIN_AA20,PIN_P11,,20,PIN_AB19,PIN_AA19,PIN_N11
21,PIN_AA20,PIN_Y20,PIN_R13,,22,PIN_AB20,PIN_Y19,PIN_T13
23,PIN_Y22,PIN_AB21,PIN_T15,,24,PIN_Y21,PIN_AB20,PIN_T14
25,PIN_W22,PIN_AA22,PIN_N12,,26,PIN_W21,PIN_AB22,PIN_M11
27,PIN_V22,PIN_W22,PIN_R14,,28,PIN_V21,PIN_Y22,PIN_N13
29,PIN_U22,PIN_Y21,PIN_N14,,30,PIN_U21,PIN_W21,PIN_P14
31,PIN_R22,PIN_U22,PIN_P16,,32,PIN_R21,PIN_V21,PIN_R16
33,PIN_P22,PIN_V20,PIN_N16,,34,PIN_P21,PIN_W19,PIN_N15
35,PIN_N22,PIN_U21,PIN_M16,,36,PIN_N21,PIN_U20,PIN_M15
37,PIN_M22,PIN_R22,PIN_L16,,38,PIN_M21,PIN_T22,PIN_L15
39,PIN_L22,PIN_P22,PIN_P15,,40,PIN_L21,PIN_R21,PIN_M12
41,PIN_K22,PIN_T20,PIN_L14,,42,PIN_K21,PIN_T19,PIN_L13
43,PIN_J22,PIN_P16,PIN_K16,,44,PIN_J21,PIN_P17,PIN_K15
45,PIN_H22,PIN_N20,PIN_K12,,46,PIN_H21,PIN_N21,PIN_J12
47,PIN_F22,PIN_M21,PIN_J14,,48,PIN_F21,PIN_M20,PIN_J13
49,PIN_E22,PIN_M18,PIN_K11,,50,PIN_E21,PIN_N19,PIN_J11
51,PIN_D22,PIN_L18,PIN_G11,,52,PIN_D21,PIN_L19,PIN_F11
53,PIN_C22,PIN_M22,PIN_F13,,54,PIN_C21,PIN_L22,PIN_F14
55,PIN_B22,PIN_L17,PIN_F10,,56,PIN_B21,PIN_K17,PIN_F9
57,PIN_N20,PIN_K22,PIN_E16,,58,PIN_N19,PIN_K21,PIN_E15
59,PIN_M20,PIN_M16,PIN_D16,,60,PIN_M19,PIN_N16,PIN_D15
61,GND,GND,GND,,62,GND,GND,GND
63,5V,5V,5V,,64,5V,5V,5V
65,IOX_65,IOX_65,IOX_65,,66,IOX_66,IOX_66,IOX_66
67,IOX_67,IOX_67,IOX_67,,68,IOX_68,IOX_68,IOX_68
69,IOX_69,IOX_69,IOX_69,,70,IOX_70,IOX_70,IOX_70
71,IOX_71,IOX_71,IOX_71,,72,IOX_72,IOX_72,IOX_72
73,IOX_73,IOX_73,IOX_73,,74,IOX_74,IOX_74,IOX_74
75,IOX_75,IOX_75,IOX_75,,76,IOX_76,IOX_76,IOX_76
77,IOX_77,IOX_77,IOX_77,,78,IOX_78,IOX_78,IOX_78
79,IOX_79,IOX_79,IOX_79,,80,IOX_80,IOX_80,IOX_80
,IOX_81,IOX_81,IOX_81,,82,IOX_82,IOX_82,IOX_82
