U8 PIN,EP4CE15,EP4CE55,5CEFA2,10C1006,FUNCTION,,U8 PIN,EP4CE15,EP4CE55,5CEFA2,10C1006,FUNCTION
1,GND,GND,GND,GND,GND,,2,GND,GND,GND,GND,GND
3,3.3V,3.3V,3.3V,3.3V,3.3V,,4,3.3V,3.3V,3.3V,3.3V,3.3V
5,GND,GND,GND,GND,GND,,6,GND,GND,GND,GND,GND
7,PIN_AA13,PIN_AA13,PIN_AA14,PIN_R9,CPU_RESB*,,8,PIN_AB13,PIN_AB13,PIN_AA13,PIN_T9,CPU_VPB
9,PIN_AA14,PIN_AA14,PIN_AA15,PIN_R10,CPU_VDA,,10,PIN_AB14,PIN_AB14,PIN_AB15,PIN_T10,CPU_RDY
11,PIN_AA15,PIN_AA15,PIN_Y15,PIN_R11,CPU_MX,,12,PIN_AB15,PIN_AB15,PIN_Y14,PIN_T11,CPU_ABORT
13,PIN_AA16,PIN_AA16,PIN_AB18,PIN_R12,CPU_PHI2,,14,PIN_AB16,PIN_AB16,PIN_AB17,PIN_T12,CPU_IRQB
15,PIN_AA17,PIN_AA17,PIN_Y17,PIN_N9,CPU_BE,,16,PIN_AB17,PIN_AB17,PIN_Y16,PIN_M9,CPU_MLB
17,PIN_AA18,PIN_AA18,PIN_AA18,PIN_M10,CPU_E,,18,PIN_AB18,PIN_AB18,PIN_AA17,PIN_P9,CPU_NMIB
19,PIN_AA19,PIN_AA19,PIN_AA20,PIN_P11,CPU_RWB,,20,PIN_AB19,PIN_AB19,PIN_AA19,PIN_N11,CPU_VPA
21,PIN_AA20,PIN_AA20,PIN_Y20,PIN_R13,CPU_D0,,22,PIN_AB20,PIN_AB20,PIN_Y19,PIN_T13,CPU_A0
23,PIN_Y22,PIN_Y22,PIN_AB21,PIN_T15,CPU_D1,,24,PIN_Y21,PIN_Y21,PIN_AB20,PIN_T14,CPU_A1
25,PIN_W22,PIN_W22,PIN_AA22,PIN_N12,CPU_D2,,26,PIN_W21,PIN_W21,PIN_AB22,PIN_M11,CPU_A2
27,PIN_V22,PIN_V22,PIN_W22,PIN_R14,CPU_D3,,28,PIN_V21,PIN_V21,PIN_Y22,PIN_N13,CPU_A3
29,PIN_U22,PIN_U22,PIN_Y21,PIN_N14,CPU_D4,,30,PIN_U21,PIN_U21,PIN_W21,PIN_P14,CPU_A4
31,PIN_R22,PIN_R22,PIN_U22,PIN_P16,CPU_D5,,32,PIN_R21,PIN_R21,PIN_V21,PIN_R16,CPU_A5
33,PIN_P22,PIN_P22,PIN_V20,PIN_N16,CPU_D6,,34,PIN_P21,PIN_P21,PIN_W19,PIN_N15,CPU_A6
35,N/C,N/C,N/C,N/C,,,36,N/C,N/C,N/C,N/C,
37,PIN_N22,PIN_N22,PIN_U21,PIN_M16,CPU_D6,,38,PIN_N21,PIN_N21,PIN_U20,PIN_M15,CPU_A7
39,PIN_M22,PIN_M22,PIN_R22,PIN_L16,CPU_A15,,40,PIN_M21,PIN_M21,PIN_T22,PIN_L15,CPU_A8
41,PIN_L22,PIN_L22,PIN_P22,PIN_P15,CPU_A14,,42,PIN_L21,PIN_L21,PIN_R21,PIN_M12,CPU_A9
43,PIN_K22,PIN_K22,PIN_T20,PIN_L14,CPU_A13,,44,PIN_K21,PIN_K21,PIN_T19,PIN_L13,CPU_A10
45,PIN_J22,PIN_J22,PIN_P16,PIN_K16,CPU_A12,,46,PIN_J21,PIN_J21,PIN_P17,PIN_K15,CPU_A11
47,N/C,N/C,N/C,N/C,N/C,,48,N/C,N/C,N/C,N/C,N/C
49,N/C,N/C,N/C,N/C,N/C,,50,N/C,N/C,N/C,N/C,N/C
