U8 PIN,EP4CE15,EP4CE55,5CEFA2,10C1006,Function
1,GND,GND,GND,GND,N/C
2,GND,GND,GND,GND,N/C
3,3.3V,3.3V,3.3V,3.3V,J1-1
4,3.3V,3.3V,3.3V,3.3V,J1-2
5,GND,GND,GND,GND,N/C
6,GND,GND,GND,GND,N/C
7,PIN_AA13,PIN_AA13,PIN_AA14,PIN_R9,CPUE
8,PIN_AB13,PIN_AB13,PIN_AA13,PIN_T9,CPURES*
9,PIN_AA14,PIN_AA14,PIN_AA15,PIN_R10,CPUMX
10,PIN_AB14,PIN_AB14,PIN_AB15,PIN_T10,CPUCLK
11,PIN_AA15,PIN_AA15,PIN_Y15,PIN_R11,CPUBE
12,PIN_AB15,PIN_AB15,PIN_Y13,PIN_T11,CPUNMIB
13,PIN_AA16,PIN_AA16,PIN_AB18,PIN_R12,CPURWB
14,PIN_AB16,PIN_AB16,PIN_AB17,PIN_T12,CPUIRQB
15,PIN_AA17,PIN_AA17,PIN_Y7,PIN_N9,CPUVDA
16,PIN_AB17,PIN_AB17,PIN_Y16,PIN_M9,CPUABORTB
17,PIN_AA18,PIN_AA18,PIN_AA18,PIN_M10,CPUVPA
18,PIN_AB18,PIN_AB18,PIN_AA17,PIN_P9,CPURDY
19,PIN_AA19,PIN_AA19,PIN_AA20,PIN_P11,CPUVPB
20,PIN_AB19,PIN_AB19,PIN_AA19,PIN_N11,CPUMLB
21,PIN_AA20,PIN_AA20,PIN_Y20,PIN_R13,16
22,PIN_AB20,PIN_AB20,PIN_Y19,PIN_T13,15
23,PIN_Y22,PIN_Y22,PIN_AB21,PIN_T15,18
24,PIN_Y21,PIN_Y21,PIN_AB20,PIN_T14,17
25,PIN_W22,PIN_W22,PIN_AA22,PIN_N12,20
26,PIN_W21,PIN_W21,PIN_AB22,PIN_M11,19
27,PIN_V22,PIN_V22,PIN_W22,PIN_R14,22
28,PIN_V21,PIN_V21,PIN_Y22,PIN_N13,21
29,PIN_U22,PIN_U22,PIN_Y21,PIN_N14,24
30,PIN_U21,PIN_U21,PIN_W21,PIN_P14,23
31,PIN_R22,PIN_R22,PIN_U22,PIN_P16,26
32,PIN_R21,PIN_R21,PIN_V21,PIN_R16,25
33,PIN_P22,PIN_P22,PIN_V20,PIN_N16,28
34,PIN_P21,PIN_P21,PIN_W19,PIN_N15,27
35,PIN_N22,PIN_N22,PIN_U21,PIN_M16,30
36,PIN_N21,PIN_N21,PIN_U20,PIN_M15,29
37,PIN_M22,PIN_M22,PIN_R22,PIN_L16,32
38,PIN_M21,PIN_M21,PIN_T22,PIN_L15,31
39,PIN_L22,PIN_L22,PIN_P22,PIN_P15,34
40,PIN_L21,PIN_L21,PIN_R21,PIN_M12,33
41,PIN_K22,PIN_K22,PIN_T20,PIN_L14,36
42,PIN_K21,PIN_K21,PIN_T19,PIN_L13,35
43,PIN_J22,PIN_J22,PIN_P16,PIN_K16,38
44,PIN_J21,PIN_J21,PIN_P17,PIN_K15,37
45,PIN_H22,PIN_H22,PIN_N20,PIN_K12,40
46,PIN_H21,PIN_H21,PIN_N21,PIN_J12,39
47,PIN_F22,PIN_F22,PIN_M21,PIN_J14,42
48,PIN_F21,PIN_F21,PIN_M20,PIN_J13,41
49,PIN_E22,PIN_E22,PIN_M18,PIN_K11,44
50,PIN_E21,PIN_E21,PIN_N19,PIN_J11,43
51,PIN_D22,PIN_D22,PIN_L18,PIN_G11,46
52,PIN_D21,PIN_D21,PIN_L19,PIN_F11,45
53,PIN_C22,PIN_C22,PIN_M22,PIN_F13,48
54,PIN_C21,PIN_C21,PIN_L22,PIN_F14,47
55,PIN_B22,PIN_B22,PIN_L17,PIN_F10,
56,PIN_B21,PIN_B21,PIN_K17,PIN_F9,
57,PIN_N20,PIN_N20,PIN_K22,PIN_E16,
58,PIN_N19,PIN_N19,PIN_K21,PIN_E15,
59,PIN_M20,PIN_M20,PIN_M16,PIN_D16,
60,PIN_M19,PIN_M19,PIN_N16,PIN_D15,
61,GND,GND,GND,GND,50
62,GND,GND,GND,GND,49
63,VIN,VIN,VIN,VIN,
64,VIN,VIN,VIN,VIN,
