Qty,Value,RefDes,,Qty,Value,RefDes
6,0.1uF,"C1,C2,C3,C4,C7,C8",,1,"Header, Strt, 1x2",H1
3,10uF,"C5,C6,C9",,1,"Header, Rt Ang, 1x3",H2
2,3MM LED,"D1,D2",,1,"Header, Strt, 1x4",J2
1, MI0805K601R-10,L1,,1,"Header, Rt Ang, 2x3",J5
3,10K,"R1,R2,R15",,1,"Header, Rt Ang, 2x6",J3
2,22,"R5,R6",,1,"Header, Strt, 2x25",J1
5,422,"R7,R8,R10,R12,R14",,2,"Socket, Strt, Fem, 2x32","J7,J8"
3,845,"R9,R11,R13",,1,USB_B_Micro,J4
1,AP1117,U1,,1,"Conn, Mini-DIN, Purple",P2
1,FT230XS,U2,,1,DB-15HD (Blue),P1
1,IS62WV10248EBLL-45TLI,U3,,1,SD_Card-conn,P4
