DB25,P1(DB25),J1,Signal,FPGA,,DB25,P1(DB25),J1,Signal,FPGA
25,1,,GND,,,26,2,,GND,
23,3,44,gpio3[7],PIN_M18,,24,4,43,gpio3[6],PIN_N19
21,5,42,gpio3[5],PIN_M21,,22,6,41,gpio3[4],PIN_M20
19,7,40,gpio3[3],PIN_N20,,20,8,39,gpio3[2],PIN_N21
17,9,38,gpio3[1],PIN_P16,,18,10,37,gpio3[0],PIN_P17
15,11,36,gpio2[7],PIN_T20,,16,12,35,gpio2[6],PIN_T19
13,13,34,gpio2[5],PIN_P22,,14,14,33,gpio2[4],PIN_R21
11,15,32,gpio2[3],PIN_R22,,12,16,31,gpio2[2],PIN_T22
9,17,30,gpio2[1],PIN_U21,,10,18,29,gpio2[0],PIN_U20
7,19,,,,,8,20,,,
5,21,,,,,6,22,,,
3,23,,+3.3V,,,4,24,,+3.3V,
1,25,,,,,,,,,
