Description,quantity 1,Ref Des,Vendor,,,
          0.1uF,3,"C5, C6, C7",Mouser,581-08055C104KAT9A ,,
            10K,2,"R4, R9",Mouser,260-10K-RC,,
           10uF,1,C4,Mouser,581-0805YD106K ,,
150,2,"R5, R12",Mouser,260-150-RC,,
           18pF,2,"C2, C3",Mouser,140-CC501N180J-RC ,,
            1uF,2,"C1, C8",Mouser,77-VJ0805Y105MXQTBC,,
           2.2K,1,R7,Mouser,260-2.2K-RC,,
22,2,"R1, R2",Mouser,260-22-RC ,,
470,1,R3,Mouser,652-CR0805JW-471ELF ,,
           8MHz,1,X1,Mouser,774-ATS080CSM-1,,
  ATMEGA32U4-AU,1,U3,Mouser,556-ATMEGA32U4-AU,,
           FUSE,1,F1,Mouser,504-PTS120615V050,,
           HDR2,3,"J3, J4, J5",Mouser,649-93287-202HLF,,
          JST_2,1,J2,JST Sales America,S2B-PH-SM4-TB(LF)(SN),Digi-Key,S2B-PH-SM4-TB(LF)(SN)
            LED,3,"DS1, DS2, DS3",Mouser,859-LTST-C170KRKT,,
       MCP73833,1,U1,Mouser,579-MCP73833-AMI/UN,,
            NTC,1,R8,Mouser,667-ERT-J1VG103JA ,,
          USB-B,1,J1,Mouser,798-UX60SC-MB-5ST80,,
     FGPMMOPA6H,1,U2,G-Top,Custom,,
