Description,Qty,Ref Des,Vendor,Vendor PN,Mouser Part Number,Description,Price 1,Ext Cost,Inv Qty
0.1uF,3,"C2, C3, C5",Mouser,581-08055C104KAT9A,581-08055C104KAT9A,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 0.1uF 10% X7R,$0.08 ,$0.24 ,85
10K,1,R9,Mouser,260-10K-RC,260-10K-RC,Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10WATT 10KOHMS 5%,$0.04 ,$0.04 ,24
10uF,1,C4,Mouser,581-0805YD106K,581-0805YD106K,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 10uF 16volts X5R 10%,$0.11 ,$0.11 ,80
16MHz,1,X1,Mouser,81-CSTLS16M0X51-A0,81-CSTLS16M0X51-A0,Resonators Resonators 16MHz 5%,$0.77 ,$0.77 ,#N/A
1uF,1,C1,Mouser,77-VJ0805Y105MXQTBC,77-VJ0805Y105MXQTBC,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 1uF 10volts X7R 20%,$0.06 ,$0.06 ,120
22,2,"R1, R2",Mouser,260-22-RC,260-22-RC,Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10WATT 22OHMS,$0.04 ,$0.08 ,100
270,1,R3,Mouser,652-CR0805JW-271ELF,652-CR0805JW-271ELF,Thick Film Resistors - SMD Thick Film Resistors - SMD 270ohm 5%,$0.05 ,$0.05 ,100
AP1117,1,U2,Mouser,621-AP1117Y50G-13,621-AP1117Y50G-13,Low Dropout Regulators - LDO Low Dropout Regulators - LDO LINEAR REG FIXED-MODE,$0.61 ,$0.61 ,#N/A
ATMEGA32U4-AU,1,U1,Mouser,556-ATMEGA32U4-AU,556-ATMEGA32U4-AU,8-bit Microcontrollers - MCU 8-bit Microcontrollers - MCU AVR USB 32K FLASH INDUSTRIAL,$6.04 ,$6.04 ,2
CONN_2,3,"J4, J29, J30",Mouser,649-93287-202HLF,649-93287-202HLF,Headers & Wire Housings Headers & Wire Housings 2P HEADER,$0.06 ,$0.18 ,#N/A
CONN_3,1,J28,Mouser,649-69190-103HLF,649-69190-103HLF,Headers & Wire Housings Headers & Wire Housings 3POS HDR 30AU,$0.12 ,$0.12 ,#N/A
FUSE,1,F1,Mouser,504-PTS120615V050,504-PTS120615V050,PTC Resettable Fuses PTC Resettable Fuses PPTC 1206 15V 0.5A SMD,$0.27 ,$0.27 ,9
GVS,25,"J2, J3, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27",Mouser,649-69190-103HLF,649-69190-103HLF,Headers & Wire Housings Headers & Wire Housings 3POS HDR 30AU,$0.11 ,$2.75 ,#N/A
LED,1,DS2,Mouser,160-1415-1-ND,859-LTST-C170KRKT,Standard LED - SMD Standard LED - SMD Red Clear 631nm,$0.32 ,$0.32 ,#N/A
USB-B,1,J1,Mouser,798-UX60SC-MB-5ST80,798-UX60SC-MB-5ST80,USB Connectors USB Connectors MINI B RECEPT RA SMT BTTM MNT,$0.95 ,$0.95 ,2
,,,,,,,Total,$12.59 ,
