Mfr. #,Manufacturer,Customer #,Qty,R1/R2,Description
RK73H2BTTE17R8F,KOA Speer,ATTEN_03DB,1,R1,Resistors - SMD 1/4W 17.8 ohms 1%
RC1206FR-07294RL,YAGEO,ATTEN_03DB,2,R2,Resistors - SMD 294 ohms 1/4W 1206 1%
RK73H2BTTD37R4F,KOA Speer,ATTEN_06DB,1,R1,Resistors - SMD 1/4W 37.4 ohms 1%
CRCW1206150RFKEAC,Vishay,ATTEN_06DB,2,R2,Resistors - SMD 1/4Watt 150 ohms 1%
RC1206FR-0771R5L,YAGEO,ATTEN_10DB,1,R1,Resistors - SMD 71.5  ohms 1/4W 1206 1%
RC1206FR-0797R6L,YAGEO,ATTEN_10DB,2,R2,Resistors - SMD 97.6 ohms 1/4W 1206 1%
RK73H2BTTD1070F,KOA Speer,ATTEN_13DB,1,R1,Resistors - SMD 1/4W 107 ohms 1%
RC1206FR-0778R7L,YAGEO,ATTEN_13DB,2,R2,Resistors - SMD 78.7  ohms 1/4W 1206 1%
AC1206FR-07249RL,YAGEO,ATTEN_20DB,1,R1,Resistors - SMD 249 ohms 1/4W 1206 1%
RK73H2BTTDD61R9F,KOA Speer,ATTEN_20DB,2,R2,Resistors - SMD 61.9 ohms 1%
RK73H2BTTD7870F,KOA Speer,ATTEN_30DB,1,R1,Resistors - SMD 1/4W 787 ohms 1%
AC1206FR-0753R6L,YAGEO,ATTEN_30DB,2,R2,Resistors - SMD 53.6 ohms 1/4W 1206 1%
RC1206FR-072K49L,YAGEO,ATTEN_40DB,1,R1,Resistors - SMD 2.49 k ohms 1/4W 1206 1%
RK73H2BTTD51R0F,KOA Speer,ATTEN_40DB,2,R2,Resistors - SMD 1/4W 51 ohms 1%
RK73H2BTTDD49R9F,KOA Speer,ATTEN_50_60DB,2,R2,Resistors - SMD 49.9 ohms 1%
RC1206FR-077K87L,YAGEO,ATTEN_50DB,1,R1,Resistors - SMD 7.87 k ohms 1/4W 1206 1%
RC1206FR-0726K1L,YAGEO,ATTEN_60DB,2,R2,Resistors - SMD 26.1 k ohms 1/4W 1206 1%
