Part,Descr,Qty,Location
,10-50pF Trim Caps 100 WV,20,
,"CAP, 100PF, 500V, NPO",100,RF FILTERS PENCIL BOX
,"CAP, 120PF, 500V, NPO",100,RF FILTERS PENCIL BOX
,"CAP, 150PF, 500V, NPO",100,RF FILTERS PENCIL BOX
,"CAP, 220PF, 500V",100,RF FILTERS PENCIL BOX
,"CAP, 330PF, 500V, NPO",100,RF FILTERS PENCIL BOX
,"CAP, 470PF, 500V, C0G",100,RF FILTERS PENCIL BOX
,"CAP, 560PF, 500V, X7R",50,RF FILTERS PENCIL BOX
,"CAP, 680PF, 100V",10,RF FILTERS PENCIL BOX
BN-43-2402 ,"Core, BN-43-2402 multi-aperture",25,
,"CRYSTAL, 27 MHz",2,RF PARTS SHOEBOX
,"CRYSTAL, 4.433610 MHz",10,RF PARTS SHOEBOX
MPN3700,"Diode, PIN, MPN3700",6,
FB-43-101,"Ferrite Bead, FB-43-101",100,
,Heat Sink 1Ft 0.5x0.022 in. & 1Ft 1.0x0.012 in.,2,
,"Heat Sink, Copper Strap 12in x 0.5in x 0.022in",2,
LM380N/NOPB,"IC, AUDIO AMP, LM380N/NOPB",2,RF PARTS SHOEBOX
LM386N-1/NOPB,"IC, AUDIO AMP, LM386N-1/NOPB",2,RF PARTS SHOEBOX
SI5351A-804486-GT,"IC, CLK GEN. SI5351A-804486-GT",10,RF PARTS SHOEBOX
SI5351A-807321-GT,"IC, CLK GEN. SI5351A-807321-GT",10,RF PARTS SHOEBOX
HC40530652,"IC, HC40530652",4,RF PARTS SHOEBOX
MCP4442-104E/ST,"IC, I2C POT, MCP4442-104E/ST",4,RF PARTS SHOEBOX
SI4825-A10-CSR,"IC, RADIO RX, SI4825-A10-CSR",2,RF PARTS SHOEBOX
SA612AD,"IC, SA612AD/01,118",4,RF PARTS SHOEBOX
SA612AD,"IC, SA612AD/01.112",1,RF PARTS SHOEBOX
SN74HC4066DR,"IC, SN74HC4066DR",10,RF PARTS SHOEBOX
NE592D8R26,"IC, VIDEO AMP, NE592D8R26",2,RF PARTS SHOEBOX
MC78L09ABPRAG,"IC, VREG, MC78L09ABPRAG",2,RF PARTS SHOEBOX
,"IND, 0.8UH",10,RF FILTERS PENCIL BOX
,"IND, 1.0UH",10,RF FILTERS PENCIL BOX
,"IND, 1.2UH",10,RF FILTERS PENCIL BOX
,"IND, 1.5UH",10,RF FILTERS PENCIL BOX
,"IND, 1.8UH",10,RF FILTERS PENCIL BOX
,"IND, 2.2UH",10,RF FILTERS PENCIL BOX
,"IND, 3.3UH",10,RF FILTERS PENCIL BOX
,"Jack, BNC Jacks Chassis Mount",5,
,"Kit, ADE-1 Diode Ring Mixer",3,
,"Kit, Custom Diode Ring Mixer",2,
,"Kit, Hybrid Cascode IF Amp",2,
,"Kit, Universal Wideband RF Amp",4,
ADE-1,"MIXER, ADE-1",4,RF PARTS SHOEBOX
,"PCB, Crystal Filter",4,
,"PCB, Custom Diode Ring Mixer",2,
,"PCB, DE-1 Diode Ring Mixer",2,
,"PCB, Universal Wideband RF Amp",2,
,"Pot, Trim, 500 ohm",12,
FT37-43,"Toroid, FT37-43 ferrite ",100,
FT37-61,"Toroid, FT37-61 ferrite ",25,
T37-2,"Toroid, T37-2",25,RF FILTERS PENCIL BOX
T37-6,"Toroid, T37-6",,RF FILTERS PENCIL BOX
2SC5551AF,"TRANS, 2SC5551AF-TD-E",2,RF PARTS SHOEBOX
BS170,"TRANS, MOSFET, BS170",25,RF PARTS SHOEBOX
BS270D74Z,"TRANS, MOSFET, BS270D74Z",10,RF PARTS SHOEBOX
IRF510SPBF,"TRANS, MOSFET, IRF510SPBF",10,RF PARTS SHOEBOX
,"Wire, Magnet, 34 AWG Red",60,
