Freq.	V(n028)/i(V8)
1.00000000000000e+06	(5.89616978134054e+01dB,1.03030924422410e+02°)
1.00575862496284e+06	(5.89139303279124e+01dB,1.02963325162007e+02°)
1.01155041168714e+06	(5.88661395126367e+01dB,1.02896116685023e+02°)
1.01737555113905e+06	(5.88183256198946e+01dB,1.02829297383797e+02°)
1.02323423538443e+06	(5.87704888994640e+01dB,1.02762865653484e+02°)
1.02912665759514e+06	(5.87226295986026e+01dB,1.02696819892299e+02°)
1.03505301205549e+06	(5.86747479620645e+01dB,1.02631158501615e+02°)
1.04101349416858e+06	(5.86268442321288e+01dB,1.02565879886038e+02°)
1.04700830046275e+06	(5.85789186486182e+01dB,1.02500982453445e+02°)
1.05303762859809e+06	(5.85309714489165e+01dB,1.02436464615182e+02°)
1.05910167737295e+06	(5.84830028680032e+01dB,1.02372324786122e+02°)
1.06520064673045e+06	(5.84350131384607e+01dB,1.02308561384680e+02°)
1.07133473776515e+06	(5.83870024905036e+01dB,1.02245172833028e+02°)
1.07750415272960e+06	(5.83389711519939e+01dB,1.02182157557052e+02°)
1.08370909504107e+06	(5.82909193484669e+01dB,1.02119513986571e+02°)
1.08994976928823e+06	(5.82428473031518e+01dB,1.02057240555259e+02°)
1.09622638123790e+06	(5.81947552369997e+01dB,1.01995335700922e+02°)
1.10253913784182e+06	(5.81466433686767e+01dB,1.01933797865364e+02°)
1.10888824724350e+06	(5.80985119146247e+01dB,1.01872625494614e+02°)
1.11527391878507e+06	(5.80503610890458e+01dB,1.01811817038972e+02°)
1.12169636301419e+06	(5.80021911039475e+01dB,1.01751370953055e+02°)
1.12815579169097e+06	(5.79540021691522e+01dB,1.01691285695851e+02°)
1.13465241779498e+06	(5.79057944923164e+01dB,1.01631559730838e+02°)
1.14118645553224e+06	(5.78575682789501e+01dB,1.01572191526035e+02°)
1.14775812034232e+06	(5.78093237324477e+01dB,1.01513179554089e+02°)
1.15436762890542e+06	(5.77610610540925e+01dB,1.01454522292221e+02°)
1.16101519914953e+06	(5.77127804430851e+01dB,1.01396218222477e+02°)
1.16770105025759e+06	(5.76644820965689e+01dB,1.01338265831695e+02°)
1.17442540267474e+06	(5.76161662096261e+01dB,1.01280663611457e+02°)
1.18118847811557e+06	(5.75678329753288e+01dB,1.01223410058397e+02°)
1.18799049957147e+06	(5.75194825847280e+01dB,1.01166503674037e+02°)
1.19483169131792e+06	(5.74711152269049e+01dB,1.01109942964907e+02°)
1.20171227892193e+06	(5.74227310889495e+01dB,1.01053726442679e+02°)
1.20863248924948e+06	(5.73743303560174e+01dB,1.00997852624113e+02°)
1.21559255047297e+06	(5.73259132113269e+01dB,1.00942320031160e+02°)
1.22259269207877e+06	(5.72774798361798e+01dB,1.00887127190985e+02°)
1.22963314487476e+06	(5.72290304099915e+01dB,1.00832272636067e+02°)
1.23671414099797e+06	(5.71805651102932e+01dB,1.00777754904193e+02°)
1.24383591392222e+06	(5.71320841127575e+01dB,1.00723572538499e+02°)
1.25099869846581e+06	(5.70835875912235e+01dB,1.00669724087605e+02°)
1.25820273079927e+06	(5.70350757177005e+01dB,1.00616208105505e+02°)
1.26544824845316e+06	(5.69865486623942e+01dB,1.00563023151771e+02°)
1.27273549032589e+06	(5.69380065937213e+01dB,1.00510167791476e+02°)
1.28006469669157e+06	(5.68894496783340e+01dB,1.00457640595295e+02°)
1.28743610920799e+06	(5.68408780811249e+01dB,1.00405440139502e+02°)
1.29484997092453e+06	(5.67922919652605e+01dB,1.00353565006086e+02°)
1.30230652629023e+06	(5.67436914921737e+01dB,1.00302013782639e+02°)
1.30980602116179e+06	(5.66950768216143e+01dB,1.00250785062597e+02°)
1.31734870281173e+06	(5.66464481116280e+01dB,1.00199877445080e+02°)
1.32493481993651e+06	(5.65978055186152e+01dB,1.00149289535030e+02°)
1.33256462266473e+06	(5.65491491973001e+01dB,1.00099019943180e+02°)
1.34023836256540e+06	(5.65004793007895e+01dB,1.00049067286244e+02°)
1.34795629265623e+06	(5.64517959805657e+01dB,9.99994301866747e+01°)
1.35571866741194e+06	(5.64030993865066e+01dB,9.99501072729545e+01°)
1.36352574277268e+06	(5.63543896669062e+01dB,9.99010971794318e+01°)
1.37137777615249e+06	(5.63056669684852e+01dB,9.98523985465220e+01°)
1.37927502644772e+06	(5.62569314364146e+01dB,9.98040100205575e+01°)
1.38721775404564e+06	(5.62081832143168e+01dB,9.97559302539324e+01°)
1.39520622083298e+06	(5.61594224443041e+01dB,9.97081579051086e+01°)
1.40324069020458e+06	(5.61106492669672e+01dB,9.96606916385641e+01°)
1.41132142707207e+06	(5.60618638214112e+01dB,9.96135301249346e+01°)
1.41944869787259e+06	(5.60130662452613e+01dB,9.95666720409522e+01°)
1.42762277057763e+06	(5.59642566746805e+01dB,9.95201160694457e+01°)
1.43584391470180e+06	(5.59154352443812e+01dB,9.94738608994544e+01°)
1.44411240131174e+06	(5.58666020876478e+01dB,9.94279052262042e+01°)
1.45242850303508e+06	(5.58177573363409e+01dB,9.93822477510392e+01°)
1.46079249406940e+06	(5.57689011209225e+01dB,9.93368871815978e+01°)
1.46920465019128e+06	(5.57200335704621e+01dB,9.92918222317176e+01°)
1.47766524876539e+06	(5.56711548126509e+01dB,9.92470516214600e+01°)
1.48617456875365e+06	(5.56222649738223e+01dB,9.92025740771691e+01°)
1.49473289072441e+06	(5.55733641789669e+01dB,9.91583883314766e+01°)
1.50334049686171e+06	(5.55244525517367e+01dB,9.91144931232535e+01°)
1.51199767097459e+06	(5.54755302144622e+01dB,9.90708871977595e+01°)
1.52070469850642e+06	(5.54265972881746e+01dB,9.90275693064714e+01°)
1.52946186654434e+06	(5.53776538926076e+01dB,9.89845382072501e+01°)
1.53826946382874e+06	(5.53287001462231e+01dB,9.89417926643141e+01°)
1.54712778076271e+06	(5.52797361662095e+01dB,9.88993314481543e+01°)
1.55603710942172e+06	(5.52307620685109e+01dB,9.88571533356892e+01°)
1.56499774356314e+06	(5.51817779678252e+01dB,9.88152571101754e+01°)
