Id,Time[ns],0:I²C: Address/Data
0,4998820.00000000000000000000,Start
1,5027800.00000000000000000000,Write
2,5010240.00000000000000000000,Address write: 3C
3,5030320.00000000000000000000,ACK
4,5043240.00000000000000000000,Data write: 00
5,5063340.00000000000000000000,ACK
6,5075120.00000000000000000000,Data write: AE
7,5095220.00000000000000000000,ACK
8,5108140.00000000000000000000,Stop
9,5324160.00000000000000000000,Start
10,5352900.00000000000000000000,Write
11,5335320.00000000000000000000,Address write: 3C
12,5355420.00000000000000000000,ACK
13,5368340.00000000000000000000,Data write: 00
14,5388420.00000000000000000000,ACK
15,5400220.00000000000000000000,Data write: D5
16,5420300.00000000000000000000,ACK
17,5432100.00000000000000000000,Data write: 80
18,5452180.00000000000000000000,ACK
19,5465120.00000000000000000000,Stop
20,5692560.00000000000000000000,Start
21,5721560.00000000000000000000,Write
22,5703980.00000000000000000000,Address write: 3C
23,5724060.00000000000000000000,ACK
24,5736980.00000000000000000000,Data write: 00
25,5757080.00000000000000000000,ACK
26,5768860.00000000000000000000,Data write: A8
27,5788960.00000000000000000000,ACK
28,5800740.00000000000000000000,Data write: 1F
29,5820840.00000000000000000000,ACK
30,5833760.00000000000000000000,Stop
31,6049780.00000000000000000000,Start
32,6078520.00000000000000000000,Write
33,6060960.00000000000000000000,Address write: 3C
34,6081040.00000000000000000000,ACK
35,6093960.00000000000000000000,Data write: 00
36,6114040.00000000000000000000,ACK
37,6125840.00000000000000000000,Data write: D3
38,6145940.00000000000000000000,ACK
39,6157720.00000000000000000000,Data write: 00
40,6177820.00000000000000000000,ACK
41,6190740.00000000000000000000,Stop
42,6374120.00000000000000000000,Start
43,6402860.00000000000000000000,Write
44,6385300.00000000000000000000,Address write: 3C
45,6405380.00000000000000000000,ACK
46,6418300.00000000000000000000,Data write: 00
47,6438380.00000000000000000000,ACK
48,6450180.00000000000000000000,Data write: 40
49,6470260.00000000000000000000,ACK
50,6483200.00000000000000000000,Stop
51,6699220.00000000000000000000,Start
52,6727960.00000000000000000000,Write
53,6710380.00000000000000000000,Address write: 3C
54,6730480.00000000000000000000,ACK
55,6743400.00000000000000000000,Data write: 00
56,6763480.00000000000000000000,ACK
57,6775280.00000000000000000000,Data write: 8D
58,6795360.00000000000000000000,ACK
59,6807160.00000000000000000000,Data write: 14
60,6827240.00000000000000000000,ACK
61,6840160.00000000000000000000,Stop
62,7058700.00000000000000000000,Start
63,7087440.00000000000000000000,Write
64,7069860.00000000000000000000,Address write: 3C
65,7089960.00000000000000000000,ACK
66,7102880.00000000000000000000,Data write: 00
67,7122960.00000000000000000000,ACK
68,7134760.00000000000000000000,Data write: 20
69,7154840.00000000000000000000,ACK
70,7166640.00000000000000000000,Data write: 00
71,7186740.00000000000000000000,ACK
72,7199660.00000000000000000000,Stop
73,7383040.00000000000000000000,Start
74,7411780.00000000000000000000,Write
75,7394220.00000000000000000000,Address write: 3C
76,7414300.00000000000000000000,ACK
77,7427220.00000000000000000000,Data write: 00
78,7447300.00000000000000000000,ACK
79,7459100.00000000000000000000,Data write: A1
80,7479180.00000000000000000000,ACK
81,7492120.00000000000000000000,Stop
82,7685540.00000000000000000000,Start
83,7714280.00000000000000000000,Write
84,7696720.00000000000000000000,Address write: 3C
85,7716800.00000000000000000000,ACK
86,7729840.00000000000000000000,Data write: 00
87,7749940.00000000000000000000,ACK
88,7761720.00000000000000000000,Data write: C8
89,7781820.00000000000000000000,ACK
90,7794740.00000000000000000000,Stop
91,8010760.00000000000000000000,Start
92,8039500.00000000000000000000,Write
93,8021920.00000000000000000000,Address write: 3C
94,8042020.00000000000000000000,ACK
95,8054940.00000000000000000000,Data write: 00
96,8075020.00000000000000000000,ACK
97,8086820.00000000000000000000,Data write: DA
98,8106900.00000000000000000000,ACK
99,8118700.00000000000000000000,Data write: 02
100,8138800.00000000000000000000,ACK
101,8151720.00000000000000000000,Stop
102,8370260.00000000000000000000,Start
103,8399000.00000000000000000000,Write
104,8381420.00000000000000000000,Address write: 3C
105,8401500.00000000000000000000,ACK
106,8414420.00000000000000000000,Data write: 00
107,8434520.00000000000000000000,ACK
108,8446300.00000000000000000000,Data write: 81
109,8466400.00000000000000000000,ACK
110,8478180.00000000000000000000,Data write: 8F
111,8498280.00000000000000000000,ACK
112,8511200.00000000000000000000,Stop
113,8728480.00000000000000000000,Start
114,8757220.00000000000000000000,Write
115,8739640.00000000000000000000,Address write: 3C
116,8759740.00000000000000000000,ACK
117,8772660.00000000000000000000,Data write: 00
118,8792740.00000000000000000000,ACK
119,8804540.00000000000000000000,Data write: D9
120,8824620.00000000000000000000,ACK
121,8836420.00000000000000000000,Data write: F1
122,8856500.00000000000000000000,ACK
123,8869440.00000000000000000000,Stop
124,9085460.00000000000000000000,Start
125,9114200.00000000000000000000,Write
126,9096620.00000000000000000000,Address write: 3C
127,9116700.00000000000000000000,ACK
128,9129640.00000000000000000000,Data write: 00
129,9149720.00000000000000000000,ACK
130,9161520.00000000000000000000,Data write: DB
131,9181600.00000000000000000000,ACK
132,9193400.00000000000000000000,Data write: 40
133,9213480.00000000000000000000,ACK
134,9226400.00000000000000000000,Stop
135,9409800.00000000000000000000,Start
136,9438540.00000000000000000000,Write
137,9420960.00000000000000000000,Address write: 3C
138,9441040.00000000000000000000,ACK
139,9453980.00000000000000000000,Data write: 00
140,9474060.00000000000000000000,ACK
141,9485860.00000000000000000000,Data write: 2E
142,9505940.00000000000000000000,ACK
143,9518860.00000000000000000000,Stop
144,9712300.00000000000000000000,Start
145,9741160.00000000000000000000,Write
146,9723580.00000000000000000000,Address write: 3C
147,9743680.00000000000000000000,ACK
148,9756600.00000000000000000000,Data write: 00
149,9776680.00000000000000000000,ACK
150,9788480.00000000000000000000,Data write: A4
151,9808560.00000000000000000000,ACK
152,9821500.00000000000000000000,Stop
153,10003620.00000000000000000000,Start
154,10032360.00000000000000000000,Write
155,10014800.00000000000000000000,Address write: 3C
156,10034880.00000000000000000000,ACK
157,10047920.00000000000000000000,Data write: 00
158,10068020.00000000000000000000,ACK
159,10079800.00000000000000000000,Data write: A6
160,10099900.00000000000000000000,ACK
161,10112820.00000000000000000000,Stop
162,10771920.00000000000000000000,Start
163,10800660.00000000000000000000,Write
164,10783100.00000000000000000000,Address write: 3C
165,10803180.00000000000000000000,ACK
166,10816100.00000000000000000000,Data write: 00
167,10836180.00000000000000000000,ACK
168,10847980.00000000000000000000,Data write: 10
169,10868080.00000000000000000000,ACK
170,10881000.00000000000000000000,Stop
171,11061880.00000000000000000000,Start
172,11090620.00000000000000000000,Write
173,11073040.00000000000000000000,Address write: 3C
174,11093120.00000000000000000000,ACK
175,11106180.00000000000000000000,Data write: 00
176,11126260.00000000000000000000,ACK
177,11138060.00000000000000000000,Data write: 00
178,11158140.00000000000000000000,ACK
179,11171060.00000000000000000000,Stop
180,11354460.00000000000000000000,Start
181,11383200.00000000000000000000,Write
182,11365620.00000000000000000000,Address write: 3C
183,11385720.00000000000000000000,ACK
184,11398760.00000000000000000000,Data write: 00
185,11418840.00000000000000000000,ACK
186,11430640.00000000000000000000,Data write: B0
187,11450720.00000000000000000000,ACK
188,11463660.00000000000000000000,Stop
189,11878000.00000000000000000000,Start
190,11906740.00000000000000000000,Write
191,11889160.00000000000000000000,Address write: 3C
192,11909240.00000000000000000000,ACK
193,11922300.00000000000000000000,Data write: 40
194,11942380.00000000000000000000,ACK
195,11954180.00000000000000000000,Data write: 00
196,11974260.00000000000000000000,ACK
197,11986060.00000000000000000000,Data write: 00
198,12006140.00000000000000000000,ACK
199,12017940.00000000000000000000,Data write: 00
200,12038040.00000000000000000000,ACK
201,12049820.00000000000000000000,Data write: 00
202,12069920.00000000000000000000,ACK
203,12081700.00000000000000000000,Data write: 00
204,12101800.00000000000000000000,ACK
205,12113580.00000000000000000000,Data write: 00
206,12133680.00000000000000000000,ACK
207,12145480.00000000000000000000,Data write: 00
208,12165560.00000000000000000000,ACK
209,12177360.00000000000000000000,Data write: 00
210,12197440.00000000000000000000,ACK
211,12209240.00000000000000000000,Data write: 00
212,12229320.00000000000000000000,ACK
213,12241120.00000000000000000000,Data write: 00
214,12261200.00000000000000000000,ACK
215,12273000.00000000000000000000,Data write: 00
216,12293080.00000000000000000000,ACK
217,12304880.00000000000000000000,Data write: 00
218,12324960.00000000000000000000,ACK
219,12336760.00000000000000000000,Data write: 00
220,12356840.00000000000000000000,ACK
221,12368640.00000000000000000000,Data write: 00
222,12388720.00000000000000000000,ACK
223,12400520.00000000000000000000,Data write: 00
224,12420620.00000000000000000000,ACK
225,12432400.00000000000000000000,Data write: 00
226,12452500.00000000000000000000,ACK
227,12464280.00000000000000000000,Data write: 00
228,12484380.00000000000000000000,ACK
229,12496160.00000000000000000000,Data write: 00
230,12516260.00000000000000000000,ACK
231,12528060.00000000000000000000,Data write: 00
232,12548140.00000000000000000000,ACK
233,12559940.00000000000000000000,Data write: 00
234,12580020.00000000000000000000,ACK
235,12591820.00000000000000000000,Data write: 00
236,12611900.00000000000000000000,ACK
237,12623700.00000000000000000000,Data write: 00
238,12643780.00000000000000000000,ACK
239,12655580.00000000000000000000,Data write: 00
240,12675660.00000000000000000000,ACK
241,12687460.00000000000000000000,Data write: 00
242,12707540.00000000000000000000,ACK
243,12720460.00000000000000000000,Stop
244,13122260.00000000000000000000,Start
245,13151000.00000000000000000000,Write
246,13133420.00000000000000000000,Address write: 3C
247,13153520.00000000000000000000,ACK
248,13166440.00000000000000000000,Data write: 40
249,13186520.00000000000000000000,ACK
250,13198320.00000000000000000000,Data write: 00
251,13218400.00000000000000000000,ACK
252,13230200.00000000000000000000,Data write: 00
253,13250300.00000000000000000000,ACK
254,13262080.00000000000000000000,Data write: 00
255,13282180.00000000000000000000,ACK
256,13293960.00000000000000000000,Data write: 00
257,13314060.00000000000000000000,ACK
258,13325840.00000000000000000000,Data write: 00
259,13345940.00000000000000000000,ACK
260,13357720.00000000000000000000,Data write: 00
261,13377820.00000000000000000000,ACK
262,13389620.00000000000000000000,Data write: 00
263,13409700.00000000000000000000,ACK
264,13421500.00000000000000000000,Data write: 00
265,13441580.00000000000000000000,ACK
266,13453380.00000000000000000000,Data write: 00
267,13473460.00000000000000000000,ACK
268,13485260.00000000000000000000,Data write: 00
269,13505340.00000000000000000000,ACK
270,13517140.00000000000000000000,Data write: 00
271,13537220.00000000000000000000,ACK
272,13549020.00000000000000000000,Data write: 00
273,13569100.00000000000000000000,ACK
274,13580900.00000000000000000000,Data write: 00
275,13600980.00000000000000000000,ACK
276,13612780.00000000000000000000,Data write: 00
277,13632880.00000000000000000000,ACK
278,13644660.00000000000000000000,Data write: 00
279,13664760.00000000000000000000,ACK
280,13676540.00000000000000000000,Data write: 00
281,13696640.00000000000000000000,ACK
282,13708440.00000000000000000000,Data write: 00
283,13728520.00000000000000000000,ACK
284,13740320.00000000000000000000,Data write: 00
285,13760400.00000000000000000000,ACK
286,13772320.00000000000000000000,Data write: 00
287,13792400.00000000000000000000,ACK
288,13804200.00000000000000000000,Data write: 00
289,13824280.00000000000000000000,ACK
290,13836080.00000000000000000000,Data write: 00
291,13856160.00000000000000000000,ACK
292,13867960.00000000000000000000,Data write: 00
293,13888060.00000000000000000000,ACK
294,13899840.00000000000000000000,Data write: 00
295,13919940.00000000000000000000,ACK
296,13931720.00000000000000000000,Data write: 00
297,13951820.00000000000000000000,ACK
298,13964740.00000000000000000000,Stop
299,14365280.00000000000000000000,Start
