DB37 Pin,Descr,Conn_40,,DB37 Pin,Descr,Conn_40
1,GND,1,,20,GND,2
2,C1PB7,3,,21,C1PA0,4
3,C1PB6,5,,22,C1PA1,6
4,C1PB5,7,,23,C1PA2,8
5,C1PB4,9,,24,C1PA3,10
6,C1PB3,11,,25,C1PA4,12
7,C1PB2,13,,26,C1PA5,14
8,C1PB1,15,,27,C1PA6,16
9,C1PB0,17,,28,C1PA7,18
10,N/C,19,,29,C0PB7,20
11,C0PA0,21,,30,C0PB6,22
12,C0PA1,23,,31,C0PB5,24
13,C0PA2,25,,32,C0PB4,26
14,C0PA3,27,,33,C0PB3,28
15,C0PA4,29,,34,C0PB2,30
16,C0PA5,31,,35,C0PB1,32
17,C0PA6,33,,36,C0PB0,34
18,C0PA7,35,,37,F+5V,36
19,F+5V,37,,N/C,N/C,38
N/C,N/C,39,,N/C,N/C,40
