Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
1,0.1uF,C1,Capacitors_SMD:C_0805_HandSoldering,N/A,N/A,N/A,N/A
5,LED-fixed,"D0,D1,D2,D3,D9",LEDs:LED-3MM,N/A,N/A,N/A,N/A
1,CONN_02X03,H5,Pin_Headers:Pin_Header_Straight_2x03,N/A,N/A,N/A,N/A
1,CONN_02X04,H4,Pin_Headers:Pin_Header_Straight_2x04,N/A,N/A,N/A,N/A
2,CONN_2,"H8,H9",Pin_Headers:Pin_Header_Straight_1x02,N/A,N/A,N/A,N/A
2,CONN_01X05,"J1,J2",Pin_Headers:Pin_Header_Angled_1x05,N/A,N/A,N/A,N/A
4,CONN_1,"MTG1,MTG2,MTG3,MTG4",N/A,N/A,N/A,N/A,N/A
4,MTG_HOLE,"MTG5,MTG6,MTG7,MTG?1",dougsLib:MTG-4-40,N/A,N/A,N/A,N/A
6,10K,"R1,R12,R13,R14,R15,R2",Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
9,330,"R10,R11,R3,R4,R5,R6,R7,R8,R9",Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
1,TEST,TEST1,DougsNewMods:TEST_BLK-REAR,N/A,N/A,N/A,N/A
1,MCP23008P,U1,Housings_DIP:DIP-18_W7.62mm_LongPads,N/A,N/A,N/A,N/A
