         .047uF,1,         SM0805,C2,Vishay,VJ0805Y473JXAPW1BC,,
         0.01uF,1,         SM0805,C15,Kemet,C0805C103K5RACTU,,
          0.1uF,6,         SM0805,"C1, C6, C8, C9, C11, C14",Vishay,1C10Z5U104M050B,Mouser,75-1C10Z5U104M050B
10,1,         SM0805,R2,Vishay,CCF0710R0GKE36,Mouser,71-CCF0710R0GKE36
            10K,3,         SM0805,"R3, R8, R9",Vishay,CRCW080510K0JNEB,,
           10uF,2,         SM1206,"C10, C16", TDK,C3225X5R1E106K,,
          16MHz,1,     RESON_3PIN,Y1,Murata,CSTLS16M0X51-A0,,
            1uF,3,         SM1206,"C5, C7, C13",MuRata,GRM188R61E105KA12D,,
           2.2K,2,         SM0805,"R10, R13",Xicon,260-2.2K-RC,,
           2.2M,1,         SM0805,R1,Xicon,260-2.2M-RC,,
          220uF,1,           C1V8,C3,United Chemi-Con,EKMG250ELL221MHB5D,,
            22K,1,         SM0805,R5,Xicon,260-22K-RC,,
            25K,1,        POT-6MM,RV1,,,,
330,1,         SM0805,R4,,,,
           4.7K,2,         SM0805,"R11, R12",,,,
          4.7uF,1,         SM0805,C12,MuRata,GRM21BR61E475MA12L,,
         4N4004,1,        SOD-123,D1,,,,
           5.1K,2,         SM0805,"R6, R7",,,,
           68uH,1,        IND-6MM,L1,Bourns,SRN6045-680M,,
         AD5292,2,       tssop-14,"U5, U6",,,,
   ATMEGA328-PU,1,    DIP-28__300,U3,,,,
         CONN_1,4,       MTG-4-40,"MTG1, MTG2, MTG3, MTG4",,,,
        CONN_10,1, PIN_ARRAY-10X1,J8,,,,
         CONN_2,2,  PIN_ARRAY_2X1,"J1, J10",,,,
         CONN_3,1,  PIN_ARRAY_3X1,J4,,,,
         CONN_4,2,  PIN_ARRAY_4x1,"J5, J6",,,,
         CONN_6,1,  PIN_ARRAY-6X1,J7,,,,
          DIODE,1,        SOD-123,D2,ON Semiconductor,MBR0530T1G,,
        FT232RL,1,ftdichip-1-SSOP28DB,U7,,,,
    LM22674-5.0,1,       DDA0008B,U4,  TI,LM22674MR-5.0/NOPB,,
          LM386,1,     DIP-8__300,U1,National Semi,LM386N-3/NOPB,Mouser,926-LM386N-3/NOPB
       RCA-JACK,1,            RCA,J2,Neutrik,NYS354,Mouser,568-NYS354
          USB-B,1,     USB-B-MINI,J3,,,,
         XR2206,1,    DIP-16__300,U2,,,,
