ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Item count
C1	0.1uF	SM0805	Vishay	1C10Z5U104M050B	Mouser	75-1C10Z5U104M050B				1
C2	.047uF	SM0805	Vishay	VJ0805Y473JXAPW1BC						1
C3	220uF	C1V8	United Chemi-Con	EKMG250ELL221MHB5D						1
C5	10uF	SM0805								1
C6	0.1uF	SM1206								1
C7	1UF	SM0805								1
C8,C9	0.1uF	SM0805								2
C10	10uF	SM1206								1
C11	0.1uF	SM0805								1
C12	4.7uF	SM0805	MuRata	GRM21BR61E475MA12L						1
C13	1uF	SM0805	MuRata	GRM21BR61C105MA01L						1
C14	0.1uF	SM0805								1
C15	0.01uF	SM0805	Kemet	C0805C103K5RACTU						1
C16	10uF	SM1210	TDK	C3225X5R1E106K						1
D1	4N4004	SOD-123								1
D2	MBR0520LT1G	SOD-123	ON Semiconductor	MBR0520LT1G						1
J1	CONN_2	TB2-5MM								1
J2	RCA-JACK	RCA	Neutrik	NYS354	Mouser	568-NYS354				1
J3	USB-B	USB-B-MINI								1
J4	CONN_3	PIN_ARRAY_3X1								1
J5,J6	CONN_4	PIN_ARRAY_4x1								2
J7	CONN_6	PIN_ARRAY-6X1								1
J8	CONN_10	PIN_ARRAY-10X1								1
J10	CONN_2	PIN_ARRAY_2X1								1
L1	68uH	IND-6MM	Bourns	SRN6045-680M						1
MTG1..MTG4	CONN_1	MTG-4-40								4
R1	2.2M	SM0805	Xicon	260-2.2M-RC						1
R2	10	SM0805	Vishay	CCF0710R0GKE36	Mouser	71-CCF0710R0GKE36				1
R3	10K	SM0805	Vishay	CRCW080510K0JNEB						1
R4	220	SM0805	Xicon	260-221-RC						1
R5	10K	SM0805	Xicon	260-10K-RC						1
R6,R7	5.1K	SM0805								2
R8,R9	10K	SM0805	Vishay	CRCW080510K0JNEB						2
R12	4.7K	SM0805								1
R13	2.2K	SM0805	Xicon	260-2.2K-RC						1
RV1	25K	POT-6MM								1
U1	LM386	DIP-8__300	National Semi	LM386N-3/NOPB	Mouser	926-LM386N-3/NOPB				1
U2	XR2206	DIP-16__300								1
U3	ATMEGA328-PU	DIP-28__300								1
U4	LM22674MR-5.0	DDA0008B	TI	LM22674MR-5.0/NOPB						1
U5,U6	AD5292	tssop-14								2
U7	FT232RL	ftdichip-1-SSOP28DB	Vendor	VendorPN						1
Y1	16MHz	RESON_3PIN	Murata	CSTLS16M0X51-A0						1
