MfgPN,MouserPN,Descr,Qty
1551KRBK,546-1551KRBK,"""Enclosures",1
1551KTBU,546-1551KTBU,"""Enclosures",5
CU-1945,563-CU-1945,"""Enclosures",2
1700/40-CUT-LENGTH,517-1700/40FT,"""Flat Cables.050 40 COND. 28AWG COLOR CODED",12
4828-3004-CP,517-4828-3004-CP,"""IC & Component SocketsSOCKET 28POS .3"""" IC OPEN FRAME""",6
91A1A-B24-B15L,652-91A1A-B24-B15L,"""Potentiometers5/8"""" SQUARE ST PANEL CTRL""",3
4N28,859-4N28,"""Transistor Output OptocouplersPTR 10%",100
T93YA503KT20,72-T93YA-50K,"""Trimmer Resistors - Through Hole3/8"""" SQ V/ADJ 50K""",3
LMR62014XMFE/NOPB,926-LMR62014XMFENOPB,"""Voltage Regulators - Switching Regulators20VOUT",3
ATMEGA328P-PU,556-ATMEGA328P-PU,8-bit Microcontrollers - MCU32KB In-system Flash 20MHz 1.8V-5.5V,27
ATTINY85-20PU,556-ATTINY85-20PU,8-bit Microcontrollers - MCU8kB Flash 0.512kB EEPROM 6 I/O Pins,45
ATMEGA328-PU,556-ATMEGA328-PU,8-bit Microcontrollers - MCUAVR 32K FLSH 1K EE2K SRAM-20MHz IND,3
ATMEGA32U4-AU,556-ATMEGA32U4-AU,8-bit Microcontrollers - MCUAVR USB 32K FLASH INDUSTRIAL,17
ATMEGA32U4-MU,556-ATMEGA32U4-MU,8-bit Microcontrollers - MCUAVR USB 32K FLASH INDUSTRIAL,3
UPS2C101MHD1TN,647-UPS2C101MHD1TN,Aluminum Electrolytic Capacitors - Leaded100UF 160V 105c,3
REA100M1EBK-0511P,140-REA100M1EBK0511P,Aluminum Electrolytic Capacitors - Leaded25V 10uF 20% 5x11mm,112
EKMG250ELL221MHB5D,661-EKMGG250ELL221MH,Aluminum Electrolytic Capacitors - Leaded25volts 220uF 8x11.5,13
UFW1V471MPD,647-UFW1V471MPD,Aluminum Electrolytic Capacitors - Leaded35volts 470uF 20%,3
LM384N/NOPB,926-LM384N/NOPB,Audio Amplifiers5-W AUDIO POWER AMP,3
LM386N-3/NOPB,926-LM386N-3/NOPB,Audio AmplifiersLo Vtg Audio Pwr Amp,2
MCP73833-AMI/UN,579-MCP73833-AMI/UN,Battery ManagementCharge Management Controllers,6
3001,534-3001,Coin Cell Battery HoldersTH COIN CELL BATTERY HOLDER 12mm,10
ATS16BSM-1,774-ATS16BSM-1,Crystals16MHz 18pF 30ppm -20C 70C,10
