ref	value	footprint	Field1	Field2	Field3	Field4
C1	25uF	SM1210	TDK	C3225Y5V1C226ZT/2.00	MOUSER	810-C3225Y5V1C226Z-9
C2	25uF	SM1210	TDK	C3225Y5V1C226ZT/2.00	MOUSER	810-C3225Y5V1C226Z-9
C3	25uF	SM1210	TDK	C3225Y5V1C226ZT/2.00	MOUSER	810-C3225Y5V1C226Z-9
C4	0.1uF	SM0805	AVX	08055C104KAT2A	MOUSER	581-08055C104K
C5	0.1uF	SM0805	AVX	08055C104KAT2A	MOUSER	581-08055C104K
J1	DCJ0202	JACK_ALIM	Kobiconn	163-179PH-EX	Mouser	163-179PH-EX
P1	CONN_2X2	PIN_ARRAY_2X2	FCI	78548-406HLF	MOUSER	649-78548-406HLF
P2	CONN_2X2	PIN_ARRAY_2X2	FCI	78548-406HLF	MOUSER	649-78548-406HLF
U1	AP1117-5V	SOT223	Diodes Inc	AP1117Y50G-13	Mouser	621-AP1117Y50G-13
U2	LD1117AS33TR	SOT223	STMicroelectronics	LD1117AS33TR	Mouser	511-LD1117AS33
