RefDes,Value,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
C1,330uF/400V,CAP-MLP-EB0A,Cornell Dubilier,MLP331M400EB0A,Mouser,598-MLP331M400EB0A
COUP1,CONN_1,REV_BLOCK,N/A,N/A,N/A,N/A
COUP2,CONN_1,LOGO,N/A,N/A,N/A,N/A
COUP3,CONN_1,LAYER_STACK_4,N/A,N/A,N/A,N/A
D1,1N4934,DO-41,Vishay,1N4934,Mouser,512-1N4934
D2,1N4934,DO-41,Vishay,1N4934,Mouser,512-1N4934
D3,1N4934,DO-41,Vishay,1N4934,Mouser,512-1N4934
D4,1N4934,DO-41,Vishay,1N4934,Mouser,512-1N4934
J1,DB25F-RA,DB25F-RT-FIXED,E-CONN,DSB5-25F1-KNRO-04,L-COM,SD25S-RA-PC_UM-10-PACK
J2,HD50,MDR-50RA,3M,N10250-5242PC,Mouser,517-N10250-5242PC
J3,IEC-C14,C14R,Qualtek,703W-00/53,Mouser,562-703W-00/53
J4,CONN_6,MTA-156-6PIN-ALT,TE,640445-6,Mouser,571-6404456
J5,CONN_2,MTA-156-2PIN,TE,640445-2,Mouser,571-640445-2
J6,CONN_2,PIN_ARRAY_2X1,FCI,68602-402HLF ,Mouser,649-68602-402HLF 
MTG1,CONN_1,MTG-6-32,N/A,6-32 MTG HOLE,N/A,N/A
MTG2,CONN_1,MTG-6-32,N/A,6-32 MTG HOLE,N/A,N/A
MTG3,CONN_1,MTG-6-32,N/A,6-32 MTG HOLE,N/A,N/A
MTG4,CONN_1,MTG-6-32,N/A,6-32 MTG HOLE,N/A,N/A
MTG5,CONN_1,MTG-6-32,N/A,6-32 MTG HOLE,N/A,N/A
MTG6,CONN_1,MTG-6-32,N/A,6-32 MTG HOLE,N/A,N/A
MTG7,CONN_1,MTG-6-32,N/A,6-32 MTG HOLE,N/A,N/A
MTG8,CONN_1,MTG-6-32,N/A,6-32 MTG HOLE,N/A,N/A
Q1,2N3904,TO92-123,Fairchild Semi,2N3904,Mouser,512-2N3904BU
R1,3.3K,R4,Xicon,291-3.3K-RC,Mouser,291-3.3K-RC
R2,3.3K,R4,Xicon,291-3.3K-RC,Mouser,291-3.3K-RC
R3,3.3K,R4,Xicon,291-3.3K-RC,Mouser,291-3.3K-RC
R4,3.3K,R4,Xicon,291-3.3K-RC,Mouser,291-3.3K-RC
R5,1.8K,R4,Xicon,291-1.8K-RC,Mouser,291-1.8K-RC
R6,22K,R4,Xicon,291-22K-RC,Mouser,291-22K-RC
R7,18K,R4,Xicon,291-18K-RC,Mouser,291-18K-RC
TP1,CONN_1,PIN_ARRAY_1,N/A,N/A,N/A,N/A
TP2,CONN_1,PIN_ARRAY_1,N/A,N/A,N/A,N/A
TP3,CONN_1,PIN_ARRAY_1,N/A,N/A,N/A,N/A
U1,175A102,175A102,CSI,175A102,CSI,175A102
U2,175A102,175A102,CSI,175A102,CSI,175A102
U3,175A102,175A102,CSI,175A102,CSI,175A102
U4,175A102,175A102,CSI,175A102,CSI,175A102
U5,UWD15D,UWDD,PICO ELECTRONICS,UWD15D,PICO ELECTRONICS,UWD15D
U6,110A102,110A102,CSI,110A102,CSI,110A102
