RefDes,Value,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
P1,BNC,BNC-RT,Amphenol,31-5431-10RFX,Mouser,523-31-5431-10RFX
P2,CONN_4X2,pin_array_4x2,N/A,N/A,N/A,N/A
MTG1,CONN_1,MTG-4-40,N/A,N/A,N/A,N/A
MTG2,CONN_1,MTG-4-40,N/A,N/A,N/A,N/A
MTG3,CONN_1,MTG-4-40,N/A,N/A,N/A,N/A
MTG4,CONN_1,MTG-4-40,N/A,N/A,N/A,N/A
P3,CONN_2,SMA_EDGE,N/A,N/A,N/A,N/A
COUP1,REV_BLK,REV_BLOCK,N/A,N/A,N/A,N/A
COUP2,SN_BLK,REV_BLOCK,N/A,N/A,N/A,N/A
U2,16.000MHz,OSC-14,N/A,N/A,N/A,N/A
C2,0.1uF,SM0805,AVX,08055C104MAT2A,Mouser,581-08055C104M
C1,0.1uF,SM0805,AVX,08055C104MAT2A,Mouser,581-08055C104M
C3,10nF,SM0805,N/A,N/A,N/A,N/A
C5,10nF,SM0805,N/A,N/A,N/A,N/A
U1,AD9833,MSOP10-0.5,N/A,N/A,N/A,N/A
TP8,TST,PIN_ARRAY_1,N/A,N/A,N/A,N/A
TP9,TST,PIN_ARRAY_1,N/A,N/A,N/A,N/A
C7,10uF,SM1210,Yaego,CC206KKX5R8BB106 ,Mouser,603-CC206KKX5R8BB106 
C6,10uF,SM1210,Yaego,CC206KKX5R8BB106 ,Mouser,603-CC206KKX5R8BB106 
U3,ATMEGA32U4,TQFP44,N/A,N/A,N/A,N/A
X1,8MHz,HC-49V,N/A,N/A,N/A,N/A
C9,18pF,SM0805,Xicon,140-CC501N180J-RC,Mouser,140-CC501N180J-RC
C10,18pF,SM0805,Xicon,140-CC501N180J-RC,Mouser,140-CC501N180J-RC
J1,USB-B,USB-B-MINI,N/A,N/A,N/A,N/A
R2,3.3K,SM0805,N/A,N/A,N/A,N/A
R3,22,SM0805,Xicon,260-22-RC,Mouser,260-22-RC
R4,22,SM0805,Xicon,260-22-RC,Mouser,260-22-RC
C11,1uF,SM1210,TDK,C3216X7R2A105M,Mouser,810-C3216X7R2A105M
R5,3.3K,SM0805,N/A,N/A,N/A,N/A
H1,CONN_2,PIN_ARRAY_2X1,N/A,N/A,N/A,N/A
TP5,TST,PIN_ARRAY_1,N/A,N/A,N/A,N/A
TP6,TST,PIN_ARRAY_1,N/A,N/A,N/A,N/A
TP7,TST,PIN_ARRAY_1,N/A,N/A,N/A,N/A
U5,UEI15-050-Q48,UEI15,N/A,N/A,N/A,N/A
U6,AP1117-3.3,SOT223,N/A,N/A,N/A,N/A
U4,AP1117-3.3,SOT223,N/A,N/A,N/A,N/A
C16,1uF,SM1210,N/A,N/A,N/A,N/A
C18,1uF,SM1210,N/A,N/A,N/A,N/A
C20,1uF,SM1210,N/A,N/A,N/A,N/A
C14,1uF,SM1210,N/A,N/A,N/A,N/A
C12,1uF,SM1210,TDK,C3216X7R2A105M,Mouser,810-C3216X7R2A105M
TP2,TST,PIN_ARRAY_1,N/A,N/A,N/A,N/A
TP1,TST,PIN_ARRAY_1,N/A,N/A,N/A,N/A
TP3,TST,PIN_ARRAY_1,N/A,N/A,N/A,N/A
TP4,TST,PIN_ARRAY_1,N/A,N/A,N/A,N/A
C8,CP1,c_elec_8x10.5,Nichocon,UUX2A100MNL1GS,Mouser,647-UUX2A100MNL1GS 
C17,10uF,SM1210,Yaego,CC206KKX5R8BB106 ,Mouser,603-CC206KKX5R8BB106 
C19,10uF,SM1210,Yaego,CC206KKX5R8BB106 ,Mouser,603-CC206KKX5R8BB106 
C15,10uF,SM1210,Yaego,CC206KKX5R8BB106 ,Mouser,603-CC206KKX5R8BB106 
C13,10uF,SM1210,Yaego,CC1206KKX5R8BB106,Mouser,603-CC206KKX5R8BB106 
U8,LM5010,TSSOP-14EP,N/A,N/A,N/A,N/A
R1,10.2K,SM0805,Xicon,302-10.2K-RC,Mouser,302-10.2K-RC
C27,100nF,SM1210,N/A,N/A,N/A,N/A
C26,1uF,SM1210,N/A,N/A,N/A,N/A
C28,4.7uF,SM1210,N/A,N/A,N/A,N/A
L1,22uH,IND-7MM,N/A,N/A,N/A,N/A
D1,SK310A-TP,"""DO-214AC(SMA)""",N/A,N/A,N/A,N/A
R6,4.42K,SM0805,N/A,N/A,N/A,N/A
R11,4.42K,SM0805,N/A,N/A,N/A,N/A
C24,510pF,SM0805,N/A,N/A,N/A,N/A
C25,4.7uF,SM1210,N/A,N/A,N/A,N/A
R12,1m,SM0805,N/A,N/A,N/A,N/A
C23,22nF,SM0805,N/A,N/A,N/A,N/A
C4,0.1uF,SM0805,AVX,08055C104M,Mouser,581-08055C104M
R8,20,SM0805,Xicor,260-20-RC,Mouser,260-20-RC
C21,10pF,SM0805,N/A,N/A,N/A,N/A
R7,150K,SM0805,N/A,N/A,N/A,N/A
R9,20K,SM0805,N/A,N/A,N/A,N/A
R10,50,SM0805,Vishay,CRCW080550R0FKTA,Mouser,71-CRCW0805-50
C22,.33uF,SM0805,Vishay,VJ0805V334ZXACW1BC,Mouser,77-VJ0805V334ZXACBC
U7,OPA357,SOT23_6,N/A,N/A,N/A,N/A
TP10,TST,PIN_ARRAY_1,N/A,N/A,N/A,N/A
