Vcc,12,V,,,,,,,,,
Resistor,220,Ohms (nominal),,,,,,,,,
Y inter,3.1,V,,,,,,,,,
Slope,50,V/A,,,,,,,,,
,,,,,,,,,,,
Current,Vres,Vce sat,Vleds(3),Vled(/3),,Vled(Calc),Vled(3Calc),Vdrop,VceSat Drop,Vres Drop,Resistance
0.001,0.22,0.3,11.48,3.826666667,,3.15,9.45,2.55,0.3,2.25,2250
0.002,0.44,0.3,11.26,3.753333333,,3.2,9.6,2.4,0.3,2.1,1050
0.003,0.66,0.3,11.04,3.68,,3.25,9.75,2.25,0.3,1.95,650
0.004,0.88,0.3,10.82,3.606666667,,3.3,9.9,2.1,0.3,1.8,450
0.005,1.1,0.3,10.6,3.533333333,,3.35,10.05,1.95,0.3,1.65,330
0.006,1.32,0.3,10.38,3.46,,3.4,10.2,1.8,0.3,1.5,250
0.007,1.54,0.3,10.16,3.386666667,,3.45,10.35,1.65,0.3,1.35,192.8571429
0.008,1.76,0.3,9.94,3.313333333,,3.5,10.5,1.5,0.3,1.2,150
0.009,1.98,0.3,9.72,3.24,,3.55,10.65,1.35,0.3,1.05,116.6666667
0.01,2.2,0.3,9.5,3.166666667,,3.6,10.8,1.2,0.3,0.9,90
