DB25F,P1(DB25-02),FPGA J1,Signal,SW-J1,FPGA,,DB25F,P1(DB25-02),FPGA J1,Signal,SW-J1,FPGA
1,25,,,,,,,26,,NC,,
2,23,,GND,32,,,14,24,,GND,,
3,21,44,SS1,5,PIN_M18,,15,22,43,SS2,8,PIN_N19
4,19,42,SS3,11,PIN_M21,,16,20,41,SS4,14,PIN_M20
5,17,40,N/C,,PIN_N20,,17,18,39,N/C,,PIN_N21
6,15,38,LED1,6,PIN_P16,,18,16,37,LED2,9,PIN_P17
7,13,36,LED3,12,PIN_T20,,19,14,35,LED4,15,PIN_T19
8,11,34,LED5,18,PIN_P22,,20,12,33,LED6,21,PIN_R21
9,9,32,LED7,24,PIN_R22,,21,10,31,LED8,27,PIN_T22
10,7,30,PB8,28,PIN_U21,,22,8,29,,,PIN_U20
11,5,,,,,,23,6,,,,
12,3,,,,,,24,4,,,,
13,1,,+3.3V,2,,,25,2,,+3.3V,,
