RefDes,Value,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
BUZ1,BUZZER,PIEZO_12MM,N/A,N/A,N/A,N/A
"C3,C4,C5",0.1uF,SM0805,N/A,N/A,N/A,N/A
"C1,C2",18pF,SM0805,N/A,N/A,N/A,N/A
"C6,C8",4.7uF,SM1210,Vishay,VJ1206V475MXJTW1BC,Mouser,77-VJ1206V475MXJTBC
C7,680pF,SM0805,Vishay,VJ0805Y681JXXCW1BC,Mouser,77-VJ0805Y681JXXCBC
"D1,D2,D3,D4,D5",LED,SM0805,N/A,N/A,N/A,N/A
D6,LED,LED-5MM,N/A,N/A,N/A,N/A
DS1,LED2C_CA,SOT23_LED2C,Lumex,SML-LX15IGC-TR,Mouser,696-SML-LX15IGC-TR
D10,MBR0520LT1G,SOD-123,ON Semiconductor,MBR0520LT1G,Mouser,863-MBR0520LT1G
J2,JST_2,JST-2-SMT,JST Sales America Inc,S2B-PH-SM4-TB(LF)(SN),Mouser,455-1749-1-ND
J1,USB-B,N/A,N/A,N/A,N/A,N/A
L1,10uH,IND-3MM,Bourns,SRN3015-100M,Mouser,652-SRN3015-100M
"MTG1,MTG2,MTG3,MTG4",CONN_1,MTG-4-40,N/A,N/A,N/A,N/A
P1,CONN_3X2,pin_array_3x2,N/A,N/A,N/A,N/A
"Q1,Q2,Q3,Q4,Q5,Q6,Q7",2N3904,SOT23,N/A,N/A,N/A,N/A
"R1,R12,R13,R14,R15,R2,R3,R4,R5,R6",10K,SM0805,N/A,N/A,N/A,N/A
R22,1K,SM0805,Vishay,CRCW08051K00JNEA,Mouser,71-CRCW0805J-1K-E3
R21,1M,SM0805,Vishay,CRCW08051M00FKEA,Mouser,71-CRCW0805-1.0M-E3
R19,2.2K,SM0805,Vishay,CRCW08052K20JNEB,Mouser,71-CRCW08052K20JNEB
R23,3.09K,SM0805,KOA Speer,RK73H2ATTE3091F,Mouser,660-RK73H2ATTE3091F
"R10,R11,R16,R7,R8,R9",330,SM0805,N/A,N/A,N/A,N/A
"R17,R18",470,SM0805,Bourns,CR0805-JW-471ELF,Mouser,652-CR0805JW-471ELF
R20,NTC-10K,SM0603,Panasonic,ERT-J1VG103JA,Mouser,667-ERT-J1VG103JA
SW3,PWR_SW,PIN_ARRAY_2X1,N/A,N/A,N/A,N/A
"SW1,SW2",SW_PUSH_OMRON,SW-PB-6MM,N/A,N/A,N/A,N/A
U3,ATMEGA328-AU,TQFP32,N/A,N/A,N/A,N/A
U4,LMR62014,SOT23-5,TI, LMR62014XMFE/NOPB,Mouser,926-LMR62014XMFENOPB 
U1,MCP73833,MSOP10-0.5,Microchip Tech,MCP73833-AMI/UN,Mouser,579-MCP73833-AMI/UN 
U2,TSOP38238,PIN_ARRAY_3X1,N/A,N/A,N/A,N/A
X1,16.0MHz,crystal-HC49UP,N/A,N/A,N/A,N/A
