Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
3,LED,",D2,D3",SM0805,N/A,N/A,N/A,N/A
4,CONN_1,"MTG1,MTG2,MTG3,MTG4",MTG-4-40,N/A,N/A,N/A,N/A
4,CONN_1,"MTG5,MTG6,MTG7,MTG8",MTG-2.5MM,N/A,N/A,N/A,N/A
1,CONN_4,P2,PIN_ARRAY_4X1,N/A,N/A,N/A,N/A
1,CONN_5,P1,PIN_ARRAY_5X1,N/A,N/A,N/A,N/A
3,0,"R15,R16,R17",SM0805,N/A,N/A,N/A,N/A
8,10K,"R1,R10,R11,R12,R13,R14,R5,R6",SM0805,N/A,N/A,N/A,N/A
3,330,"R7,R8,R9",SM0805,N/A,N/A,N/A,N/A
3,OPEN,"R2,R3,R4",SM0805,N/A,N/A,N/A,N/A
5,SW_PUSH_OMRON,"SW1,SW2,SW3,SW4,SW5",SW-PB-6MM,N/A,N/A,N/A,N/A
1,MCP23008SO,U1,SO18W,N/A,N/A,N/A,N/A
