Qty,Value,RefDes,,Qty,Value,RefDes
4,0.1uF,"C2,C4,C5,C6",,1,Conn_01x02,H1
1,10uF,C3,,1,Conn_02x03_Odd_Even,H2
1,Polyfuse_Small,F1,,1,Conn_01x02,J15
8,10K,"R2,R4,R5,R6,R9,R12,R15,R18",,4,Conn_01x03,"J4,J5,J6,J8"
10,2.2K,"R1,R3,R7,R8,R10,R11,R13,R14,R16,R17",,5,Conn_01x05,"J10,J11,J12,J7,J9"
1,COUPON,TEST1,,1,Conn_02x03_Odd_Even,J3
1,AP1117,U2,,1,DCJ0202,J1
1,ESP32,U1,,2,Conn_01x14,"P12,P13"
1,TCA9544A,U3,,1,Conn_02x03_Odd_Even,P8
1,FTDI,J2,,1,Conn_02x08_Odd_Even,P1
,,,,2,Conn_02x14_Odd_Even,"P11,P2"
