"Find","Qty","Ref Des","Part Number"
"1","1","C1","10uF"
"2","9","C2, C3, C6, C7, C9, C10, C12, C13, C14","0.1uF"
"3","2","C4, C5","8pF"
"4","2","C8, C11","1uF"
"5","1","DS1","LED-fixed"
"6","1","F1","Poly Fuse (1206)"
"7","2","FID1, FID2","CONN_1"
"8","2","H1, H2","CONN_01X03"
"9","1","H3","CONN_2"
"10","1","H4","CONN_02X02"
"12","1","P1","CONN_01X40"
"13","1","P2","USB-B"
"14","1","P3","CONN_01X04"
"15","1","P4","CONN_01X06"
"16","1","P5","CONN_01X04"
"17","2","R1, R2","22"
"18","1","R3","120"
"19","3","R4, R6, R7","3.9K"
"20","1","R5","1K"
"22","1","U1","AZ1117-3.3"
"23","1","U2","[DOCUMENTATION CY8C5267AXI-LP051]"
"24","1","U3","CAT24C32WI-GT3"
"25","1","Y1","Crystal_Small"
