Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,12,"C1-C6, C9, C12-C16",0.1uF (0805),,13,1,U1,24C32
2,2,"C7, C10",12 pF (0805),,14,1,U2,CY8C5267AXI-LP051
3,2,"C8, C11",1uF (0805),,15,1,H1,"Header, Right Angle, 1X4"
4,1,DS1,LED (0805),,16,1,H2,"Header. Straight, 1x2"
5,2,"F1, F2",FUSE (1206),,17,2,"H3, H4","Header. Straight, 1x3"
6,1,R1,1K (0805),,18,1,J1,DCJ0202
7,3,"R2, R3, R4",3.9K (0805),,19,1,J2,USB-MICRO-B
8,1,R5,120 (0805),,20,1,P1,"Header. Straight, 1X40"
9,2,"R6, R7",22 (0805),,21,1,P2,"Header. Straight, 1X4"
10,2,U3,AZ1117-5,,22,1,P3,"Header. Straight, 2X2"
11,2,U4,AZ1117-3.3,,23,1,P4,"Header. Straight, 1X6"
12,1,Y1,Crystal_Small,,,,,
