HotG,Matthew,Mark,Luke,John
167,"Mat 27:57 When the even was come, there came a rich man of Arimathaea, named Joseph, who also himself was Jesus' disciple: 58 He went to Pilate, and begged the body of Jesus. Then Pilate commanded the body to be delivered. 59 And when Joseph had taken the body, he wrapped it in a clean linen cloth, 60 And laid it in his own new tomb, which he had hewn out in the rock: and he rolled a great stone to the door of the sepulchre, and departed.","Mark 15:42 And now when the even was come, because it was the preparation, that is, the day before the sabbath, 43 Joseph of Arimathaea, an honourable counsellor, which also waited for the kingdom of God, came, and went in boldly unto Pilate, and craved the body of Jesus. 44 And Pilate marvelled if he were already dead: and calling unto him the centurion, he asked him whether he had been any while dead. 45 And when he knew it of the centurion, he gave the body to Joseph. 46 And he bought fine linen, and took him down, and wrapped him in the linen, and laid him in a sepulchre which was hewn out of a rock, and rolled a stone unto the door of the sepulchre.","Luke 23:50 And, behold, there was a man named Joseph, a counsellor; and he was a good man, and a just: 51 (The same had not consented to the counsel and deed of them;) he was of Arimathaea, a city of the Jews: who also himself waited for the kingdom of God. 52 This man went unto Pilate, and begged the body of Jesus. 53 And he took it down, and wrapped it in linen, and laid it in a sepulchre that was hewn in stone, wherein never man before was laid. 54 And that day was the preparation, and the sabbath drew on.","John 19:31 The Jews therefore, because it was the preparation, that the bodies should not remain upon the cross on the sabbath day, (for that sabbath day was an high day,) besought Pilate that their legs might be broken, and that they might be taken away. 32 Then came the soldiers, and brake the legs of the first, and of the other which was crucified with him. 33 But when they came to Jesus, and saw that he was dead already, they brake not his legs: 34 But one of the soldiers with a spear pierced his side, and forthwith came there out blood and water. 35 And he that saw it bare record, and his record is true: and he knoweth that he saith true, that ye might believe. 36 For these things were done, that the scripture should be fulfilled, A bone of him shall not be broken. 37 And again another scripture saith, They shall look on him whom they pierced. 38 And after this Joseph of Arimathaea, being a disciple of Jesus, but secretly for fear of the Jews, besought Pilate that he might take away the body of Jesus: and Pilate gave him leave. He came therefore, and took the body of Jesus. 39 And there came also Nicodemus, which at the first came to Jesus by night, and brought a mixture of myrrh and aloes, about an hundred pound weight. 40 Then took they the body of Jesus, and wound it in linen clothes with the spices, as the manner of the Jews is to bury. 41 Now in the place where he was crucified there was a garden; and in the garden a new sepulchre, wherein was never man yet laid. 42 There laid they Jesus therefore because of the Jews' preparation day; for the sepulchre was nigh at hand."
168,"Mat 27:61 And there was Mary Magdalene, and the other Mary, sitting over against the sepulchre. 62 Now the next day, that followed the day of the preparation, the chief priests and Pharisees came together unto Pilate, 63 Saying, Sir, we remember that that deceiver said, while he was yet alive, After three days I will rise again. 64 Command therefore that the sepulchre be made sure until the third day, lest his disciples come by night, and steal him away, and say unto the people, He is risen from the dead: so the last error shall be worse than the first. 65 Pilate said unto them, Ye have a watch: go your way, make it as sure as ye can. 66 So they went, and made the sepulchre sure, sealing the stone, and setting a watch.",Mark 15:47 And Mary Magdalene and Mary the mother of Joses beheld where he was laid.,"Luke 23:55 And the women also, which came with him from Galilee, followed after, and beheld the sepulchre, and how his body was laid. 56 And they returned, and prepared spices and ointments; and rested the sabbath day according to the commandment.", 
169,"28:1 In the end of the sabbath, as it began to dawn toward the first day of the week, came Mary Magdalene and the other Mary to see the sepulchre.","16:1 And when the sabbath was past, Mary Magdalene, and Mary the mother of James, and Salome, had bought sweet spices, that they might come and anoint him.", , 
170,"2 And, behold, there was a great earthquake: for the angel of the Lord descended from heaven, and came and rolled back the stone from the door, and sat upon it. 3 His countenance was like lightning, and his raiment white as snow: 4 And for fear of him the keepers did shake, and became as dead men.", , , 
171,"28:5 And the angel answered and said unto the women, Fear not ye: for I know that ye seek Jesus, which was crucified. 6 He is not here: for he is risen, as he said. Come, see the place where the Lord lay. 7 And go quickly, and tell his disciples that he is risen from the dead; and, behold, he goeth before you into Galilee; there shall ye see him: lo, I have told you. 8 And they departed quickly from the sepulchre with fear and great joy; and did run to bring his disciples word.","2 And very early in the morning the first day of the week, they came unto the sepulchre at the rising of the sun. 3 And they said among themselves, Who shall roll us away the stone from the door of the sepulchre? 4 And when they looked, they saw that the stone was rolled away: for it was very great. 5 And entering into the sepulchre, they saw a young man sitting on the right side, clothed in a long white garment; and they were affrighted. 6 And he saith unto them, Be not affrighted: Ye seek Jesus of Nazareth, which was crucified: he is risen; he is not here: behold the place where they laid him. 7 But go your way, tell his disciples and Peter that he goeth before you into Galilee: there shall ye see him, as he said unto you. 8 And they went out quickly, and fled from the sepulchre; for they trembled and were amazed: neither said they any thing to any man; for they were afraid.","1 Now upon the first day of the week, very early in the morning, they came unto the sepulchre, bringing the spices which they had prepared, and certain others with them. 2 And they found the stone rolled away from the sepulchre. 3 And they entered in, and found not the body of the Lord Jesus. 4 And it came to pass, as they were much perplexed thereabout, behold, two men stood by them in shining garments: 5 And as they were afraid, and bowed down their faces to the earth, they said unto them, Why seek ye the living among the dead? 6 He is not here, but is risen: remember how he spake unto you when he was yet in Galilee, 7 Saying, The Son of man must be delivered into the hands of sinful men, and be crucified, and the third day rise again. 8 And they remembered his words,","1 The first day of the week cometh Mary Magdalene early, when it was yet dark, unto the sepulchre, and seeth the stone taken away from the sepulchre."
172, , ,"24:9 And returned from the sepulchre, and told all these things unto the eleven, and to all the rest. 10 It was Mary Magdalene, and Joanna, and Mary the mother of James, and other women that were with them, which told these things unto the apostles. 11 And their words seemed to them as idle tales, and they believed them not. 12 Then arose Peter, and ran unto the sepulchre; and stooping down, he beheld the linen clothes laid by themselves, and departed, wondering in himself at that which was come to pass.","20:2 Then she runneth, and cometh to Simon Peter, and to the other disciple, whom Jesus loved, and saith unto them, They have taken away the Lord out of the sepulchre, and we know not where they have laid him. 3 Peter therefore went forth, and that other disciple, and came to the sepulchre. 4 So they ran both together: and the other disciple did outrun Peter, and came first to the sepulchre. 5 And he stooping down, and looking in, saw the linen clothes lying; yet went he not in. 6 Then cometh Simon Peter following him, and went into the sepulchre, and seeth the linen clothes lie, 7 And the napkin, that was about his head, not lying with the linen clothes, but wrapped together in a place by itself. 8 Then went in also that other disciple, which came first to the sepulchre, and he saw, and believed. 9 For as yet they knew not the scripture, that he must rise again from the dead. 10 Then the disciples went away again unto their own home."
173, ,"16:9 Now when Jesus was risen early the first day of the week, he appeared first to Mary Magdalene, out of whom he had cast seven devils. 10 And she went and told them that had been with him, as they mourned and wept. 11 And they, when they had heard that he was alive, and had been seen of her, believed not.", ,"20:11 But Mary stood without at the sepulchre weeping: and as she wept, she stooped down, and looked into the sepulchre, 12 And seeth two angels in white sitting, the one at the head, and the other at the feet, where the body of Jesus had lain. 13 And they say unto her, Woman, why weepest thou? She saith unto them, Because they have taken away my Lord, and I know not where they have laid him. 14 And when she had thus said, she turned herself back, and saw Jesus standing, and knew not that it was Jesus. 15 Jesus saith unto her, Woman, why weepest thou? whom seekest thou? She, supposing him to be the gardener, saith unto him, Sir, if thou have borne him hence, tell me where thou hast laid him, and I will take him away. 16 Jesus saith unto her, Mary. She turned herself, and saith unto him, Rabboni; which is to say, Master. 17 Jesus saith unto her, Touch me not; for I am not yet ascended to my Father: but go to my brethren, and say unto them, I ascend unto my Father, and your Father; and to my God, and your God. 18 Mary Magdalene came and told the disciples that she had seen the Lord, and that he had spoken these things unto her."
174,"Mat 28:9 And as they went to tell his disciples, behold, Jesus met them, saying, All hail. And they came and held him by the feet, and worshipped him. 10 Then said Jesus unto them, Be not afraid: go tell my brethren that they go into Galilee, and there shall they see me.", , , 
175,"Mat 28:11 Now when they were going, behold, some of the watch came into the city, and showed unto the chief priests all the things that were done. 12 And when they were assembled with the elders, and had taken counsel, they gave large money unto the soldiers, 13 Saying, Say ye, His disciples came by night, and stole him away while we slept. 14 And if this come to the governor's ears, we will persuade him, and secure you. 15 So they took the money, and did as they were taught: and this saying is commonly reported among the Jews until this day.", , , 
176, ,"Mark 16:12 After that he appeared in another form unto two of them, as they walked, and went into the country. 13 And they went and told it unto the residue: neither believed they them.","Luke 24:13 And, behold, two of them went that same day to a village called Emmaus, which was from Jerusalem about threescore furlongs. 14 And they talked together of all these things which had happened. 15 And it came to pass, that, while they communed together and reasoned, Jesus himself drew near, and went with them. 16 But their eyes were holden that they should not know him. 17 And he said unto them, What manner of communications are these that ye have one to another, as ye walk, and are sad? 18 And the one of them, whose name was Cleopas, answering said unto him, Art thou only a stranger in Jerusalem, and hast not known the things which are come to pass there in these days? 19 And he said unto them, What things? And they said unto him, Concerning Jesus of Nazareth, which was a prophet mighty in deed and word before God and all the people: 20 And how the chief priests and our rulers delivered him to be condemned to death, and have crucified him. 21 But we trusted that it had been he which should have redeemed Israel: and beside all this, to day is the third day since these things were done. 22 Yea, and certain women also of our company made us astonished, which were early at the sepulchre; 23 And when they found not his body, they came, saying, that they had also seen a vision of angels, which said that he was alive. 24 And certain of them which were with us went to the sepulchre, and found it even so as the women had said: but him they saw not. 25 Then he said unto them, O fools, and slow of heart to believe all that the prophets have spoken: 26 Ought not Christ to have suffered these things, and to enter into his glory? 27 And beginning at Moses and all the prophets, he expounded unto them in all the scriptures the things concerning himself. 28 And they drew nigh unto the village, whither they went: and he made as though he would have gone further. 29 But they constrained him, saying, Abide with us: for it is toward evening, and the day is far spent. And he went in to tarry with them. 30 And it came to pass, as he sat at meat with them, he took bread, and blessed it, and brake, and gave to them. 31 And their eyes were opened, and they knew him; and he vanished out of their sight. 32 And they said one to another, Did not our heart burn within us, while he talked with us by the way, and while he opened to us the scriptures?", 
