Desc,Qty,Ref Des,Vendor,Vendor PN,Package,Manuf,Mfg PN
BATTERY,1,BT1,Mouser,534-3001,JST-2-SMT,JST Sales America Inc,S2B-PH-SM4-TB(LF)(SN)
680pF,1,C1,Mouser,77-VJ0805Y681JXXCBC,SM1206,Cooper Bussman,PTS120615V050
4.7uF,2,C2 C3,Mouser,77-VJ1206V475MXJTBC,MSOP10-0.5,Microchip Tech,MCP73833-AMI/UN
0.1uF,1,C4,Mouser,581-08055C104M,RJ45_8-TH,TE Connectivity/AMP,215877-1
10uF,1,C5,Mouser,581-0805YD106K ,SM0805,Bourns,CR0805-JW-103ELF
1uF,1,C6,Mouser,77-VJ0805Y105MXQTBC,SM0805,Bourns,CR0805-JW-471ELF
18pF,2,C7 C8,Mouser,77-VJ0805A180GXQCBC,SM0805,Bourns,CR0805-JW-182ELF
0.1uF,1,C9,,,QMONTRE,Abracon,AB38T-32.768KHZ
MBR0520LT1G,1,D1,Mouser,863-MBR0520LT1G,PIN_ARRAY_4x1,,
LED2C_CA,1,DS1,Mouser,696-SML-LX15IGC-TR,PIN_ARRAY_2X1,,
FUSE,1,F1,Mouser,504-PTS120615V050,MTG-4-40-SMALL,,
CONN_1,2,FID1 FID2,,,SOT23_LED2C,Lumex,SML-LX15IGC-TR
JST_2,1,J1,Mouser,455-1749-1-ND,PIN_ARRAY-10X1,,
USB-B,1,J2,Mouser,798-UX60SC-MB-5ST80,SO14E,,
10uH,1,L1,Mouser,652-SRN3015-100M,SM0805,Bourns,CR0805-JW-105ELF
CONN_1,6,MTG1 MTG2 MTG3 MTG4 MTG5 MTG6,,,IND-3MM,Bourns,SRN3015-100M
CNT-RJ45-8,1,P1,Mouser,571-2158771,SW5WAY,ALPS,SKQUCAA010
TFT_LCD,1,P2,,,SW-SPDT-SLIDE,,
CONN_2,2,P3 P4,,,USB-B-MINI,Hirose Connector,UX60SC-MB-5ST(80)
CONN_3X2,1,P5,,,SM0805,Vishay,VJ0805A180GXQCW1BC
CONN_4,1,P6,,,SM0805,Vishay,VJ0805Y105MXQTW1BC
DMG3415U-7,1,Q1,,,SM1210,Vishay,VJ1206V475MXJTW1BC
2N3904,1,Q2,,,SM0805,Bourns,CR0805-JW-561ELF
3.09K,1,R1,Mouser,660-RK73H2ATTE3091F,SO8N,Maxim,DS1307Z+
22,2,R10 R11,Mouser,652-CR0805JW-220ELF,CR1220_CASE,Keystone Electronics,3001
10K,2,R13 R14,Mouser,652-CR0805-JW-103ELF,SM0805,Bourns,CR0805-JW-102ELF
3.3K,1,R15,Mouser,652-CR0805JW-332ELF,TO92-123,Maxim,DS18S20+PAR
1K,1,R16,Mouser,652-CR0805JW-102ELF,SM0805,Mourns,CR0805-JW-222ELF
560,1,R17,Mouser,652-CR0805JW-561ELF,SM1210,AVX,0805YD106KAT2A
1.8K,1,R18,Mouser,652-CR0805JW-182ELF,TQFP44,ATMEL,ATMEGA32U4-AU
330,1,R19,Mouser,652-CR0805JW-331ELF,SOT23-5,TI, LMR62014XMFE/NOPB
1K,1,R2,Mouser,652-CR0805JW-102ELF,SM0805,Bourns,CR0805-JW-220ELF
1K,1,R20,,,SM0805,Bourns,CR0805-JW-331ELF
10K,1,R21,,,SM0805,Bourns,CR0805-JW-103ELF
100K,2,R22 R23,,,crystal-HC49UP,CTS Electronic Components,ATS16BSM-1
1M,1,R3,Mouser,652-CR0805JW-105ELF,SM0805,Bourns,CR0805-JW-332ELF
470,2,R4 R5,Mouser,652-CR0805JW-471ELF,SM0805,AVX,08055C104MAT2A
4.7K,1,R6,Mouser,652-CR0805-JW-472ELF,SOD-123,ON Semiconductor,MBR0520LT1G
2.2K,1,R7,Mouser,652-CR0805JW-222ELF,SM0805,Bourns,CR0805-JW-472ELF
NTC-10K,1,R8,Mouser,667-ERT-J1VG103JA,REV_BLOCK,,
10K,2,R9 R12,Mouser,652-CR0805-JW-103ELF,SM0805,Bourns,CR0805-JW-102ELF
REV_BLOCK,1,REV_BLOCK1,,,SM0805,,
SW-SPDT,1,SW1,,,SW-PB-6MM,,
SW5WAY,1,SW2,Mouser,688-SKQUCA,SM0805,,
SW_PUSH_OMRON,1,SW3,,,SM0805,,
TST,4,TP1 TP3 TP4 TP5,,,PIN_ARRAY_1,,
LMR62014,1,U1,Mouser,926-LMR62014XMFENOPB ,pin_array_3x2,,
DS18S20+,1,U2,Mouser,700-DS18S20+PAR,FIDUCIAL,,
MCP73833,1,U3,Mouser,579-MCP73833-AMI/UN ,SOT23GDS,,
ATMEGA32U4-AU,1,U4,Mouser,556-ATMEGA32U4-AU,SM0805,KOA Speer,RK73H2ATTE3091F
DS1307,1,U5,Mouser,700-DS1307Z,SM0805,,
MC14093,1,U6,,,SOT23,,
CRYSTAL,1,X1,Mouser,774-ATS16BSM-1,SM0805,Vishay,VJ0805Y681JXXCW1BC
32.768KHz,1,X2,Mouser,815-AB38T-32.768KHZ,SM0603,Panasonic,ERT-J1VG103JA
