OptoIn,OptoIn,DB25RIB,DIGIO32,DB37RIB,,OptoIn,OptoIn,DB25RIB,DIGIO32,DB37RIB
Pin,Descr ,Pin_26,Descr ,Pin_40,,Pin,Descr ,Pin_26,Descr ,Pin_40
1,CH1-IN+ ,25,C0PA0 ,21,,,,26,,
2,N/C ,23,,,,14,CH1-IN- ,24,C0PB0 ,34
3,CH2-IN- ,21,C0PB1,32,,15,CH2-IN+ ,22,C0PA1,23
4,CH3-IN+ ,19,C0PA2,25,,16,N/C ,20,,
5,N/C ,17,,,,17,CH3-IN- ,18,C0PB2,30
6,CH4-IN- ,15,C0PB3,28,,18,CH4-IN+ ,16,C0PA3,27
7,CH5-IN+ ,13,C0PA4,29,,19,N/C ,14,,
8,N/C ,11,,,,20,CH5-IN- ,12,C0PB4,26
9,CH6-IN- ,9,C0PB5,24,,21,CH6-IN+ ,10,C0PA5,31
10,CH7-IN+ ,7,C0PA6,33,,22,N/C ,8,,
11,N/C ,5,,,,23,CH7-IN- ,6,C0PB6,22
12,CH8-IN- ,3,C0PB7,20,,24,CH8-IN+ ,4,C0PA7,35
13,N/C ,1,,,,25,N/C ,2,,
