Qty,Value,RefDes,Footprint
1,24C01,U10,Housings_DIP:DIP-8__300_ELL
8,4N26,"U1,U2,U3,U4,U5,U6,U7,U8",DIP-6__300
1,MCP23008P,U9,Housings_DIP:DIP-18__300_ELL
1,1K,R9,Discret:R4-5
2,2.2K,"R10,R11",Discret:R4-5
1,3.3K-RPACK,RP1,SIL-10
8,330,"R1,R2,R3,R4,R5,R6,R7,R8",R4-5
1,4.7K-RPACK,RP2,SIL-10
2,0.1uF,"C1,C2",Capacitors_ThroughHole:C_Rect_L7_W2_P5
1,CONN_02X03,J5,Pin_Headers:Pin_Header_Straight_2x03
2,CONN_3,"J1,J6",PIN_ARRAY_3X1
1,CONN_3X2,J4,Pin_Headers:Pin_Header_Straight_2x03
2,CONN_4,"J2,J3",pin_array_4x1
1,DB25,J7,DB25FC
