680pF,1,"C2",SM0805,Vishay,VJ0805Y681JXXCW1BC,Mouser,77-VJ0805Y681JXXCBC
0.1uF,1,"C5",SM0805,Murata,GRM155F51E104ZA1J ,Mouser,81-GRM155F51E104ZA1J 
4.7uF,2,"C1 C3",SM1210,Vishay,VJ1206V475MXJTW1BC,Mouser,77-VJ1206V475MXJTBC
10uF,1,"C4",SM1210,Yaego,CC121ZKY5V8BB106,Mouser,603-CC121ZKY5V8BB106
MBR0520LT1G,1,"D1",SOD-123,ON Semiconductor,MBR0520LT1G,Mouser,863-MBR0520LT1G
LED2C_CA,1,"DS1",SOT23_LED2C,Lumex,SML-LX15IGC-TR,Mouser,696-SML-LX15IGC-TR
CONN_1,2,"FID1 FID2",FIDUCIAL
CONN_2X2,1,"H2",PIN_ARRAY_2X2
CONN_3,1,"H1",PIN_ARRAY_3X1,FCI,68002-103HLF,Mouser,649-68002-103HLF
JST_2,1,"J1",JST-2-SMT,JST Sales America Inc,S2B-PH-SM4-TB(LF)(SN),Mouser,455-1749-1-ND
USB-B,1,"J2",USB-B-MINI,Hirose,UX60SC-MB-5ST(80),Mouser,798-UX60SC-MB-5ST80 
10uH,1,"L1",IND-3MM,Bourns,SRN3015-100M,Mouser,652-SRN3015-100M
CONN_1,4,"MTG1 MTG2 MTG3 MTG4",MTG-4-40-SMALL
CONN_6,1,"P2",PIN_ARRAY-6X1,FCI,68002-106HLF,Mouser,649-68002-106HLF
CONN_2,1,"P1",~
270,1,"R8",SM0805,TE,CRG0805F270R,Mouser,279-CRG0805F270R
270,1,"R9",SM0805
470,2,"R1 R2",SM0805,Bourns,CR0805-JW-471ELF,Mouser,652-CR0805JW-471ELF
1K,1,"R6",SM0805,Vishay,CRCW08051K00JNEA,Mouser,71-CRCW0805J-1K-E3
2.2K,1,"R3",SM0805,Vishay,CRCW08052K20JNEB,Mouser,71-CRCW08052K20JNEB
3.09K,1,"R7",SM0805,KOA Speer,RK73H2ATTE3091F,Mouser,660-RK73H2ATTE3091F
1M,1,"R5",SM0805,Vishay,CRCW08051M00FKEA,Mouser,71-CRCW0805-1.0M-E3
NTC-10K,1,"R4",SM0603,Panasonic,ERT-J1VG103JA,Mouser,667-ERT-J1VG103JA
SW-SPDT,1,"SW1",SW-SPDT-SLIDE
MCP73833,1,"U1",MSOP10-0.5,Microchip Tech,MCP73833-AMI/UN,Mouser,579-MCP73833-AMI/UN 
LMR62014,1,"U2",SOT23-5,TI, LMR62014XMFE/NOPB,Mouser,926-LMR62014XMFENOPB 
FT230XS,1,"U3",ssop-16
