Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
1,10uF,C1,Resistors_SMD:R_1206_HandSoldering,Vishay/Vitramon,VJ1206V106ZXQTW1BC,Mouser,77-VJ1206V106ZXQTBC
2,4.7uF,"C2,C4",Resistors_SMD:R_1206_HandSoldering,Vishay,VJ1206V475MXJTW1BC,Mouser,77-VJ1206V475MXJTBC
1,680pF,C3,Resistors_SMD:R_0805_HandSoldering,Vishay,VJ0805Y681JXXCW1BC,Mouser,77-VJ0805Y681JXXCBC
1,BAT20,D1,Diodes_SMD:SOD-323,STMicroelectronics,BAT20JFILM,Mouser,511-BAT20JFILM
1,LED,DS1,Resistors_SMD:R_0805_HandSoldering,Lite-On,LTST-C170KRKT,Mouser,859-LTST-C170KRKT
1,MBR0520LT1G,D2,DougsNewMods:SOD-123-FIXED,ON Semiconductor,MBR0520LT1G,Mouser,863-MBR0520LT1G
2,CONN_1,"FID1,FID2",FIDUCIAL,N/A,N/A,N/A,N/A
1,FUSE,F1,Resistors_SMD:R_1206_HandSoldering,Cooper Bussman,PTS120615V050,Mouser,PTS120615V050
1,CONN_3X2,J1,PIN_ARRAY_3X2,N/A,N/A,N/A,N/A
1,JST_2,J2,JST-2-SMT,JST Sales America Inc,S2B-PH-SM4-TB(LF)(SN),N/A,455-1749-1-ND
1,USB-MICRO-B,J3,DougsNewMods:USB_Micro-B-Wellco-SMT,N/A,N/A,N/A,N/A
1,10uH,L1,dougsLib:IND-3MM,Bourns,SRN3015-100M,Mouser,652-SRN3015-100M
4,CONN_1,"MTG1,MTG2,MTG3,MTG4",MTG-4-40,N/A,N/A,N/A,N/A
1,PMV48XP,Q1,TO_SOT_Packages_SMD:SOT-23,NXP,"PMV48XP,215",Mouser,771-PMV48XP215
1,10K,R3,Resistors_SMD:R_0805_HandSoldering,KOA,RK73B2ATTD103J,Mouser,660-RK73B2ATTD103J 
1,1K,R5,Resistors_SMD:R_0805_HandSoldering,Vishay,CRCW08051K00JNEA,Mouser,71-CRCW0805J-1K-E3
1,1M,R4,Resistors_SMD:R_0805_HandSoldering,Vishay,CRCW08051M00FKEA,Mouser,71-CRCW0805-1.0M-E3
1,2.2K,R2,Resistors_SMD:R_0805_HandSoldering,Vishay,CRCW08052K20JNEB,Mouser,71-CRCW08052K20JNEB
1,3.09K,R6,Resistors_SMD:R_0805_HandSoldering,KOA Speer,RK73H2ATTE3091F,Mouser,660-RK73H2ATTE3091F
1,470,R1,Resistors_SMD:R_0805_HandSoldering,KOA Speer,RK73B2ATTD472J,Mouser, 660-RK73B2ATTD472J 
1,Switch_SPDT_x2,SW1,DougsNewMods:SPDT0.1IN,N/A,N/A,N/A,N/A
1,LMR62014,U2,SOT23-5,TI,LMR62014XMFE/NOPB,Mouser,926-LMR62014XMFENOPB 
1,MCP73831,U1,SOT23-5,Mirochip,MCP73831T-2ACI/OT,Mouser,579-MCP73831T-2ACIOT
