Qty,Value,RefDes,Footprint
1,10uF,C1,SM1206
2,4.7uF,"C2,C4",Resistors_SMD:R_1206_HandSoldering
1,680pF,C3,Resistors_SMD:R_0805_HandSoldering
1,D_Schottky_FixedPinout,D1,Diodes_SMD:SOD-323
1,LED,DS1,SM0805
1,MBR0520LT1G,D2,DougsNewMods:SOD-123-FIXED
2,CONN_1,"FID1,FID2",FIDUCIAL
1,FUSE,F1,SM1206
1,CONN_3X2,J1,PIN_ARRAY_3X2
1,JST_2,J2,JST-2-SMT
1,USB-MICRO-B,J3,DougsNewMods:USB_Micro-B-Wellco-SMT
1,10uH,L1,IND-3MM
1,PMV48XP,Q1,TO_SOT_Packages_SMD:SOT-23
1,10K,R3,SM0805
1,1K,R5,Resistors_SMD:R_0805_HandSoldering
1,1M,R4,Resistors_SMD:R_0805_HandSoldering
1,2.2K,R2,SM0805
1,3.09K,R6,Resistors_SMD:R_0805_HandSoldering
1,470,R1,SM0805
1,Switch_SPDT_x2,SW1,DougsNewMods:SPDT0.1IN
1,LMR62014,U2,SOT23-5
1,MCP73831,U1,SOT23-5
