ref	value	footprint	Field1	Field2	Field3	Field4
C1	22uF	SM1210	TDK	C3225Y5V1A226Z	MOUSER	810-C3225Y5V1A226Z
C2	22uF	SM1210	TDK	C3225Y5V1A226Z	MOUSER	810-C3225Y5V1A226Z
C3	22uF	SM1210	TDK	C3225Y5V1A226Z	MOUSER	810-C3225Y5V1A226Z
C4	0.1uF	SM0805	AVX	08055C104KAT2A	MOUSER	581-08055C104K
C5	0.1uF	SM0805	AVX	08055C104KAT2A	MOUSER	581-08055C104K
J1	DCJ0202	JACK_2.1MM	Kobiconn	163-179PH-EX	Mouser	163-179PH-EX
P1	CONN_2X2	PIN_ARRAY_2X2	FCI	78548-406HLF	MOUSER	649-78548-406HLF
P2	CONN_2X2	PIN_ARRAY_2X2	FCI	78548-406HLF	MOUSER	649-78548-406HLF
U1	AP1117-5V	SOT223	Diodes Inc	AP1117E50G-13	Mouser	621-AP1117E50G-13
U2	AP1117-3.3V	SOT223	Diodes, Inc	AP1117E33G-13	Mouser	621-AP1117E33G-13 
