ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7
C1,0.1uF,SM0805,Vishay,1C10Z5U104M050B,Mouser,75-1C10Z5U104M050B,,,
C2,.047uF,SM0805,Vishay,VJ0805Y473JXAPW1BC,,,,,
C3,220uF,C1V8,United Chemi-Con,EKMG250ELL221MHB5D,,,,,
C5,10uF,SM0805,,,,,,,
C6,0.1uF,SM1206,,,,,,,
C7,1UF,SM0805,,,,,,,
C8,0.1uF,SM0805,,,,,,,
C9,0.1uF,SM0805,,,,,,,
C10,10uF,SM1206,,,,,,,
C11,0.1uF,SM0805,,,,,,,
C12,4.7uF,SM0805,MuRata,GRM21BR61E475MA12L,,,,,
C13,1uF,SM0805,MuRata,GRM21BR61C105MA01L,,,,,
C14,0.1uF,SM0805,,,,,,,
C15,0.01uF,SM0805,Kemet,C0805C103K5RACTU,,,,,
C16,10uF,SM1210,TDK,C3225X5R1E106K,,,,,
D1,4N4004,SOD-123,,,,,,,
D2,MBR0520LT1G,SOD-123,ON Semiconductor,MBR0520LT1G,,,,,
J1,CONN_2,TB2-5MM,,,,,,,
J2,RCA-JACK,RCA,Neutrik,NYS354,Mouser,568-NYS354,,,
J3,USB-B,USB-B-MINI,,,,,,,
J4,CONN_3,PIN_ARRAY_3X1,,,,,,,
J5,CONN_4,PIN_ARRAY_4x1,,,,,,,
J6,CONN_4,PIN_ARRAY_4x1,,,,,,,
J7,CONN_6,PIN_ARRAY-6X1,,,,,,,
J8,CONN_10,PIN_ARRAY-10X1,,,,,,,
J10,CONN_2,PIN_ARRAY_2X1,,,,,,,
L1,68uH,IND-6MM,Bourns,SRN6045-680M,,,,,
MTG1,CONN_1,MTG-4-40,,,,,,,
MTG2,CONN_1,MTG-4-40,,,,,,,
MTG3,CONN_1,MTG-4-40,,,,,,,
MTG4,CONN_1,MTG-4-40,,,,,,,
R1,2.2M,SM0805,Xicon,260-2.2M-RC,,,,,
R2,10,SM0805,Vishay,CCF0710R0GKE36,Mouser,71-CCF0710R0GKE36,,,
R3,10K,SM0805,Vishay,CRCW080510K0JNEB,,,,,
R4,220,SM0805,Xicon,260-221-RC,,,,,
R5,10K,SM0805,Xicon,260-10K-RC,,,,,
R6,5.1K,SM0805,,,,,,,
R7,5.1K,SM0805,,,,,,,
R8,10K,SM0805,Vishay,CRCW080510K0JNEB,,,,,
R9,10K,SM0805,Vishay,CRCW080510K0JNEB,,,,,
R12,4.7K,SM0805,,,,,,,
R13,2.2K,SM0805,Xicon,260-2.2K-RC,,,,,
RV1,25K,POT-6MM,,,,,,,
U1,LM386,DIP-8__300,National Semi,LM386N-3/NOPB,Mouser,926-LM386N-3/NOPB,,,
U2,XR2206,DIP-16__300,,,,,,,
U3,ATMEGA328-PU,DIP-28__300,,,,,,,
U4,LM22674MR-5.0,DDA0008B,TI,LM22674MR-5.0/NOPB,,,,,
U5,AD5292,tssop-14,,,,,,,
U6,AD5292,tssop-14,,,,,,,
U7,FT232RL,ftdichip-1-SSOP28DB,,,,,,,
Y1,16MHz,RESON_3PIN,Murata,CSTLS16M0X51-A0,,,,,
