Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN,
1,BUZZER,BUZ1,PIEZO_12MM,Kobitone,254-EMB125-RO,N/A,N/A,
4,0.1uF,"C3,C4,C5,C9",SM0805,N/A,N/A,N/A,N/A,
2,18pF,"C1,C2",SM0805,N/A,N/A,N/A,N/A,
2,4.7uF,"C6,C8",SM1210,Vishay,VJ1206V475MXJTW1BC,Mouser,77-VJ1206V475MXJTBC,
1,680pF,C7,SM0805,Vishay,VJ0805Y681JXXCW1BC,Mouser,77-VJ0805Y681JXXCBC,
4,LED,"D1,D2,D3,D4",SM0805,Osram ,LG R971-KN-1,Mouser,720-LGR971-KN-1 ,
1,LED,D5,SM0805,Osram ,LH R974-LP-1,Mouser,720-LHR974-LP-1 ,720-LHR974-LP-1 
1,LED,D6,LED-5MM,Vishay ,TSAL6200,Mouser,782-TSAL6200 ,
1,LED2C_CA,DS1,SOT23_LED2C,Lumex,SML-LX15IGC-TR,Mouser,696-SML-LX15IGC-TR,
1,MBR0520LT1G,D10,SOD-123,ON Semiconductor,MBR0520LT1G,Mouser,863-MBR0520LT1G,
1,JST_2,J2,JST-2-SMT,JST Sales America Inc,S2B-PH-SM4-TB(LF)(SN),Mouser,455-1749-1-ND,
1,USB-B,J1,USB-B-MINI,Hirose Electric ,UX60SC-MB-5ST(80),Mouser,798-UX60SC-MB-5ST80 ,
1,10uH,L1,IND-3MM,Bourns,SRN3015-100M,Mouser,652-SRN3015-100M,
1,CONN_3X2,P1,pin_array_3x2,N/A,N/A,N/A,N/A,
7,2N3904,"Q1,Q2,Q3,Q4,Q5,Q6,Q7",SOT23EBC,Fairchild,MMBT3904,Mouser,512-MMBT3904 ,
1,100,R24,SM0805,N/A,N/A,N/A,N/A,
10,10K,"R1,R12,R13,R14,R15,R2,R3,R4,R5,R6",SM0805,N/A,N/A,N/A,N/A,
1,1K,R22,SM0805,Vishay,CRCW08051K00JNEA,Mouser,71-CRCW0805J-1K-E3,
1,1M,R21,SM0805,Vishay,CRCW08051M00FKEA,Mouser,71-CRCW0805-1.0M-E3,
1,2.2K,R19,SM0805,Vishay,CRCW08052K20JNEB,Mouser,71-CRCW08052K20JNEB,
1,3.09K,R23,SM0805,KOA Speer,RK73H2ATTE3091F,Mouser,660-RK73H2ATTE3091F,
1,33,R25,SM0805,N/A,N/A,N/A,N/A,
6,330,"R10,R11,R16,R7,R8,R9",SM0805,N/A,N/A,N/A,N/A,
2,470,"R17,R18",SM0805,Bourns,CR0805-JW-471ELF,Mouser,652-CR0805JW-471ELF,
1,NTC-10K,R20,SM0603,Panasonic,ERT-J1VG103JA,Mouser,667-ERT-J1VG103JA,
1,PWR_SW,SW3,PIN_ARRAY_2X1,N/A,N/A,N/A,N/A,
2,SW_PUSH_OMRON,"SW1,SW2",SW-PB-6MM,N/A,N/A,N/A,N/A,
1,ATMEGA328-AU,U3,TQFP32,Atmel,ATMEGA328-AU,Mouser ,556-ATMEGA328-AU ,
1,LMR62014,U4,SOT23-5,TI, LMR62014XMFE/NOPB,Mouser,926-LMR62014XMFENOPB ,
1,MCP73833,U1,MSOP10-0.5,Microchip Tech,MCP73833-AMI/UN,Mouser,579-MCP73833-AMI/UN ,
2,TSOP38238,"U2,U5",PIN_ARRAY_3X1,Vishay,TSOP38238,Mouser,782-TSOP38238 ,
1,16.0MHz,X1,crystal-HC49UP,CTS,ATS160SM-1,Mouser,774-ATS160SM-1 ,
