Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
1,BATTERY,BT1,CR1220_CASE,Keystone Electronics,3001,Mouser,534-3001
1,TFT_16-PIN,BRD1,TFT_16-PIN,N/A,N/A,N/A,N/A
2,0.1uF,"C4,C9",SM0805,AVX,08055C104MAT2A,Mouser,581-08055C104M
1,10uF,C5,SM1210,AVX,0805YD106KAT2A,Mouser,581-0805YD106K 
2,18pF,"C7,C8",SM0805,Vishay,VJ0805A180GXQCW1BC,Mouser,77-VJ0805A180GXQCBC
1,1uF,C6,SM0805,Vishay,VJ0805Y105MXQTW1BC,Mouser,77-VJ0805Y105MXQTBC
2,4.7uF,"C2,C3",SM1210,Vishay,VJ1206V475MXJTW1BC,Mouser,77-VJ1206V475MXJTBC
1,680pF,C1,SM0805,Vishay,VJ0805Y681JXXCW1BC,Mouser,77-VJ0805Y681JXXCBC
1,LED2C_CA,DS1,SOT23_LED2C,Lumex,SML-LX15IGC-TR,Mouser,696-SML-LX15IGC-TR
1,MBR0520LT1G,D1,SOD-123,ON Semiconductor,MBR0520LT1G,Mouser,863-MBR0520LT1G
2,CONN_1,"FID1,FID2",FIDUCIAL,N/A,N/A,N/A,N/A
1,FUSE,F1,SM1206,Cooper Bussman,PTS120615V050,Mouser,504-PTS120615V050
1,JST_2,J1,JST-2-SMT,JST Sales America Inc,S2B-PH-SM4-TB(LF)(SN),Mouser,455-1749-1-ND
1,USB-B,J2,USB-B-MINI,Hirose Connector,UX60SC-MB-5ST(80),Mouser,798-UX60SC-MB-5ST80
1,10uH,L1,IND-3MM,Bourns,SRN3015-100M,Mouser,652-SRN3015-100M
6,CONN_1,"MTG1,MTG2,MTG3,MTG4,MTG5,MTG6",MTG-4-40-SMALL,N/A,N/A,N/A,N/A
1,CNT-RJ45-8,P1,RJ45_8-TH,TE Connectivity/AMP,215877-1,Mouser,571-2158771
1,CONN_2,P3,PIN_ARRAY_2X1,N/A,N/A,N/A,N/A
1,CONN_3,P4,PIN_ARRAY_3X1,N/A,N/A,N/A,N/A
2,CONN_3X2,"P5,P7",pin_array_3x2,N/A,N/A,N/A,N/A
1,CONN_4,P6,PIN_ARRAY_4x1,N/A,N/A,N/A,N/A
1,2N3904,Q2,SOT23,N/A,N/A,N/A,N/A
1,DMG3415U-7,Q1,SOT23GDS,N/A,N/A,N/A,N/A
1,1.8K,R15,SM0805,Vishay,CCF071K80JNE36,Mouser,71-CCF071K80JNE36
2,100K,"R22,R23",SM0805,Vishay,CRCW0805100KJNEA,Mouser,71-CRCW0805J-100K-E3
5,10K,"R12,R13,R14,R21,R9",SM0805,Bourns,CRCW080510K0JNEA,Mouser,71-CRCW0805J-10K-E3
1,1K,R19,SM0805,Xicon,271-1K-RC,Mouser,271-1K-RC
2,1K,"R2,R20",SM0805,Vishay,CRCW08051K00JNEA,Mouser,71-CRCW0805J-1K-E3
1,1M,R3,SM0805,Vishay,CRCW08051M00FKEA,Mouser,71-CRCW0805-1.0M-E3
1,2.2K,R7,SM0805,Vishay,CRCW08052K20JNEB,Mouser,71-CRCW08052K20JNEB
2,22,"R10,R11",SM0805,Vishay,CRCW080522R0FKEA,Mouser,71-CRCW0805-22-E3 
1,3.09K,R1,SM0805,KOA Speer,RK73H2ATTE3091F,Mouser,660-RK73H2ATTE3091F
1,3.3K,R16,SM0805,Xicon,271-3.3K-RC,Mouser,271-3.3K-RC
1,330,R17,SM0805,Vishay,CCF07330RJKE36,71-CCF07330RJKE36,N/A
1,4.7K,R6,SM0805,Bourns,CR0805-JW-472ELF,Mouser,652-CR0805-JW-472ELF
2,470,"R4,R5",SM0805,Bourns,CR0805-JW-471ELF,Mouser,652-CR0805JW-471ELF
1,560,R18,SM0805,Vishay,CCF07560RJKE36,Mouser,71-CCF07560RJKE36
1,NTC-10K,R8,SM0603,Panasonic,ERT-J1VG103JA,Mouser,667-ERT-J1VG103JA
1,REV_BLOCK,REV_BLOCK1,REV_BLOCK,N/A,N/A,N/A,N/A
1,SW-SPDT,SW1,SW-SPDT-SLIDE,N/A,N/A,N/A,N/A
6,SW_PUSH_OMRON,"SW2,SW3,SW4,SW5,SW6,SW7",SW-PB-6MM,N/A,N/A,N/A,N/A
3,TST,"TP1,TP3,TP4",PIN_ARRAY_1,N/A,N/A,N/A,N/A
1,ATMEGA32U4-AU,U4,TQFP44,ATMEL,ATMEGA32U4-AU,Mouser,556-ATMEGA32U4-AU
1,DS1307,U5,SO8N,Maxim,DS1307Z+,Mouser,700-DS1307Z
1,DS18S20+,U2,TO92-123,Maxim,DS18S20+PAR,Mouser,700-DS18S20+PAR
1,LMR62014,U1,SOT23-5,TI, LMR62014XMFE/NOPB,Mouser,926-LMR62014XMFENOPB 
1,MC14093,U6,TSSOP14,N/A,N/A,N/A,N/A
1,MCP73833,U3,MSOP10-0.5,Microchip Tech,MCP73833-AMI/UN,Mouser,579-MCP73833-AMI/UN 
1,32.768KHz,X2,QMONTRE,Abracon,AB38T-32.768KHZ,Mouser,815-AB38T-32.768KHZ
1,CRYSTAL,X1,crystal-HC49UP,CTS Electronic Components,ATS16BSM-1,Mouser,774-ATS16BSM-1
