PAL Searle timing,,,,NTSC timing,,
Bit freq,50000000,Hz,,Bit freq,50000000,Hz
Bit freq,50,MHz,,Bit freq,50,MHz
Bit time,2E-08,secs,,Bit time,2E-08,secs
Time per line,6.40E-05,uS,,Time per line,6.35E-05,uS
clocks per line,3200,clocks,,clocks per line,3175,clocks
Horiz Freq,1.56E+04,Hz,,Horiz Freq,1.57E+04,Hz
Horiz active,5.20E-05,secs,,Horiz active,5.26E-05,secs
Horiz active,2600,clocks,,Horiz active,2630,clocks
Horiz blank,1.2E-05,secs,,Horiz blank,1.09E-05,secs
Horiz blank,600,clocks,,Horiz blank,545,clocks
Horiz sync,4.70E-06,secs,,Horiz sync,4.70E-06,secs
Horiz sync,2.35E+02,clocks,,Horiz sync,2.35E+02,clocks
Front porch,8E-07,secs,,Front porch,1.50E-06,secs
Front porch,40,clocks,,Front porch,75,clocks
Back porch,4E-06,secs,,Back porch,4.70E-06,secs
Back porch,200,clocks,,Back porch,235,clocks
Total Blank,1.20E-05,secs,,Total Blank,1.09E-05,check number
Total Blank,600,clocks,,Total Blank,545,clocks
,,,,,,
Vertical freq (goal),50,Hz,,Vertical freq (goal),59.94,Hz
Vertical time,0.02,secs,,Vertical time,0.016683350016683,secs
Vertical lines (calc),312.5,lines,,Vertical lines (calc),262.729921522572,lines
Vertical lines (round),312,lines,,Vertical lines (round),262,lines
Vert front porch,0,lines,,Vert front porch,0,lines
Vert sync,5,lines,,Vert sync,5,lines
Vert act start count,38,lines,,Vert act start count,6,lines
Vert active,255,lines,,Vert active,255,lines
Vert act end count,293,lines,,Vert act end count,261,lines
Vert back porch,19,lines,,Vert back porch,1,lines
Vert active check,255,lines,,Vert active check,255,lines
Vert blanking,57,lines,,Vert blanking,7,lines
