Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
1,CONN_01X04,J3,Pin_Headers:Pin_Header_Angled_1x04,N/A,N/A,N/A,N/A
1,CONN_02X04,J5,Pin_Headers:Pin_Header_Angled_2x04,N/A,N/A,N/A,N/A
3,CONN_02X06,"J6,J7,J8",Pin_Headers:Pin_Header_Straight_2x06,N/A,N/A,N/A,N/A
1,RCA-JACK,J2,DougsNewMods:RCA,N/A,N/A,N/A,N/A
1,SD_Card,J4,LandBoards_Conns:SD_CARD,N/A,N/A,N/A,N/A
1,VGA,J1,LandBoards_Conns:DB_15F-VGA-fixed,N/A,N/A,N/A,N/A
3,MTG_HOLE,"MTG1,MTG2,MTG3",MTG-6-32,N/A,N/A,N/A,N/A
4,CONN_02X14,"P1,P2,P3,P4",Pin_Headers:Pin_Header_Straight_2x14,N/A,N/A,N/A,N/A
2,10K,"R7,R8",Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
1,1K,R10,Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
6,2.7K,"R1,R2,R3,R4,R5,R6",Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
4,470,"R11,R13,R15,R9",Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
3,680,"R12,R14,R16",Resistors_SMD:R_0805_HandSoldering,N/A,N/A,N/A,N/A
1,TESTED_COUPON,TESTED1,DougsNewMods:TEST_BLK-REAR,N/A,N/A,N/A,N/A
1,AS6C1008,U1,Housings_DIP:DIP-32_W15.24mm,N/A,N/A,N/A,N/A
