Non Single Point Nets
P103,R5-1,P2-24
P96,R2-2,P2-19
P99,R4-2,P2-21
P100,P2-22,R6-2
ND,P2-27,P2-26,P4-10,P4-9,J1-10,P4-8,P4-1,P3-27,P3-26,P4-2,P1-26,P1-25,J8-11,J1-8,P3-2,P3-1,J1-5,J1-6,J1-7,J6-11,J8-12,P2-2,P2-1,P4-26,P4-25,J7-11,J7-12,J5-8,J5-7,J3-1,J6-12,U1-2,J4-6,J2-3,J2-2,J4-13,J2-1,J4-12,U1-16,J4-3
P72,J1-14,P1-24
P71,J1-13,P1-23
P104,R1-1,P2-25
P101,P2-23,R3-1
P92,P2-16,J4-7
P94,P2-18,J4-5
P97,J4-1,P2-20
Net-(J2-Pad4),R10-2,R9-2,J2-4
P75,R9-1,P2-5
P74,R10-1,P2-4
P63,R11-1,P1-17
P64,P1-18,R12-1
P65,P1-19,R13-1
P67,R14-1,P1-20
P69,R15-1,P1-21
P70,P1-22,R16-1
Net-(J1-Pad1),J1-1,R16-2,R15-2
Net-(J1-Pad2),J1-2,R13-2,R14-2
Net-(J1-Pad3),R12-2,J1-3,R11-2
P22,P4-13,J7-5
P17,J7-3,P4-11
P25,P4-15,J7-7
P31,J7-8,P4-24
P27,P4-17,J7-9
P52,J7-10,P1-10
P89,J8-3,P2-13
P90,J8-4,P2-14
P81,P2-9,J8-5
P93,J4-2,P2-17
P88,P2-12,J8-6
P79,J8-7,P2-7
P80,J8-8,P2-8
P73,P2-3,J8-9
P76,P2-6,J8-10
CC,P4-28,P2-28,P1-27,J3-2,P1-28,P3-28,R7-1,R8-1,J6-2,U1-32,J4-4,J6-1,U1-30,J7-1,J7-2,P4-27,J8-1,J8-2
P86,J3-3,P2-10,R8-2
P87,P2-11,J3-4,R7-2
P43,P1-4,J6-5
P41,J6-3,P1-2
P45,P1-6,J6-7
P48,J6-9,P1-8
P40,J6-4,P1-1
P42,P1-3,J6-6
P44,P1-5,J6-8
P47,J6-10,P1-7
RTS1,J5-1,R1-2
RX1,R3-2,J5-3
TX1,R5-2,J5-5
RTS2,R2-1,J5-2
RX2,J5-4,R4-1
TX2,R6-1,J5-6
P21,P4-14,J7-6
P24,U1-28,P4-16
P18,J7-4,P4-12
P143,U1-5,P3-24
P132,P3-15,U1-23
P133,U1-9,P3-16
P134,U1-24,P3-17
P135,P3-18,U1-8
P136,U1-25,P3-19
P129,U1-10,P3-14
P4,U1-29,P4-4
P8,U1-31,P4-6
P115,U1-14,P3-6
P112,U1-17,P3-3
P113,U1-15,P3-4
P114,P3-5,U1-18
P118,P3-7,U1-19
P119,U1-13,P3-8
P120,P3-9,U1-20
P121,U1-12,P3-10
P137,U1-7,P3-20
P122,P3-11,U1-21
P139,P3-21,U1-26
P125,U1-11,P3-12
P141,U1-6,P3-22
P126,U1-22,P3-13
P142,P3-23,U1-27
P30,P4-21,U1-3
P28,U1-4,P4-22
