Pin,SIG_NAME,CPU_Pin,uPy_Pin,X,Pin,SIG_NAME,CPU_Pin,uPy_Pin
1,3.3V,n/a,,,32,IO_PC6,37,Y1
2,3.3V,n/a,,,31,IO_PC7,38,Y2
3,GND,n/a,,,30,IO_PB12,33,Y5
4,GND,n/a,,,29,IO_PB13,34,Y6
5,LEDR1 (D2) PA8,41,,,28,IO_PB14,35,Y7
6,LEDG2 (D3) PC5,25,X12,,27,IO_PB15,36,Y8
7,LEDG1 (D1) PC4,24,X11,,26,IO_PB2,28,
8,BOOT0,60,,,25,IO_PB3,55,X17
9,USR_SW,46,P5,,24,IO_PB4,56,P2
10,IO_PA14,49,P4,,23,MMA_AVDD,57,
11,IO_PA15,50,P3,,22,MMA_SCL PB6,58,X9
12,IO_PB9,62,Y4,,21,MMA_SDA PB7,59,X10
13,MMA_INT PB8,61,Y3,,20,NRST,7,
14,GND,n/a,,,19,GND,n/a,
15,3.3V,n/a,,,18,3.3V,n/a,
16,VIN (5V),n/a,,,17,VIN (5V),n/a,
