Qty	Value	RefDes	Footprint	Manufacturer	ManufacturerPN	Vendor	VendorPN
2	0.1uF	C1,C2	Capacitors_ThroughHole:C_Rect_L7_W2_P5	N/A	N/A	N/A	N/A
1	47uF	C3	Capacitors_ThroughHole:C_Radial_D5_L11_P2.5	N/A	N/A	N/A	N/A
1	FUSE	F1	SM1206	N/A	N/A	N/A	N/A
1	CONN_01X02	H5	Pin_Headers:Pin_Header_Straight_1x02	N/A	N/A	N/A	N/A
1	CONN_01X02	H7	Pin_Headers:Pin_Header_Angled_1x02	N/A	N/A	N/A	N/A
1	CONN_01X03	H2	Pin_Headers:Pin_Header_Angled_1x03	N/A	N/A	N/A	N/A
1	CONN_01X05	H1	Pin_Headers:Pin_Header_Angled_1x05	N/A	N/A	N/A	N/A
1	CONN_02X02	H3	Pin_Headers:Pin_Header_Angled_2x02	N/A	N/A	N/A	N/A
1	CONN_02X02	H6	Pin_Headers:Pin_Header_Straight_2x02	N/A	N/A	N/A	N/A
1	CONN_02X04	H4	Pin_Headers:Pin_Header_Angled_2x04	N/A	N/A	N/A	N/A
1	DB25	J1	DougsNewMods:DB25FC	N/A	N/A	N/A	N/A
4	MTG_HOLE	MTG1,MTG2,MTG3,MTG4	MTG-6-32	N/A	N/A	N/A	N/A
20	CONN_01X10	P1,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P3,P4,P5,P6,P7,P8,P9,P99	Pin_Headers:Pin_Header_Straight_1x10	N/A	N/A	N/A	N/A
4	10K	R1,R2,R6,R7	Resistors_ThroughHole:Resistor_Horizontal_RM10mm	N/A	N/A	N/A	N/A
1	1K	R3	Resistors_ThroughHole:Resistor_Horizontal_RM10mm	N/A	N/A	N/A	N/A
2	2.2K	R4,R5	Resistors_ThroughHole:Resistor_Horizontal_RM10mm	N/A	N/A	N/A	N/A
1	TESTED_COUPON	TESTED1	DougsNewMods:TEST_BLK-REAR	N/A	N/A	N/A	N/A
1	24C01	U2	Housings_DIP:DIP-8_W7.62mm	N/A	N/A	N/A	N/A
1	MCP23017P	U1	Housings_DIP:DIP-28_W7.62mm	N/A	N/A	N/A	N/A
