Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
2,0.1uF,"C3,C4",SM0805,N/A,N/A,N/A,N/A
1,47nF,C1,SM0805,N/A,N/A,N/A,N/A
1,47uF,C2,C1.5V8V,N/A,N/A,N/A,N/A
1,1N4148,D1,SOD-123,N/A,N/A,N/A,N/A
1,LED,DS1,LED-0805,N/A,N/A,N/A,N/A
4,CONN_1,"MTG1,MTG2,MTG3,MTG4",MTG-4-40,N/A,N/A,N/A,N/A
2,BNC,"PB1,PB2",BNC-RT,Amphenol,31-5431-10RFX,Mouser,523-31-5431-10RFX
1,CONN_2,P1,PIN_ARRAY_2X1,N/A,N/A,N/A,N/A
1,CONN_2,P2,TB2-5MM,N/A,N/A,N/A,N/A
2,SMA,"PA1,PA2",SMA_EDGE,N/A,N/A,N/A,N/A
1,150,R7,SM0805,N/A,N/A,N/A,N/A
6,240,"R2,R3,R4,R5,R6,R8",SM0805,N/A,N/A,N/A,N/A
1,33K,R1,SM0805,N/A,N/A,N/A,N/A
1,74AC14,U1,so-14,TI,SN74AC14DR,Mouser,595-SN74AC14DR
