Ref,Qnty,Value,,Ref,Qnty,Value
"C1, C2, C4, C5, ",4,0.1uF,,"H1, ",1,Conn_01x02
"C3, C6, ",2,10uF,,"H2, ",1,"Header, Vert, 2x4"
"R1, R9, R15, ",3,1K,,"J1, ",1,USB-B
"R2, R6, R14, ",3,499,,"J2, J3, ",2,"Header, 1x6, Rt Ang, (FTDI)"
"R3, R10, R16, ",3,2K,,"J4, ",1,"Conn, SD Card"
"R4, R11, R17, ",3,4.02K,,"J5, ",1,Conn_02x02_Odd_Even
"R5, R12, R18, ",3,8.06K,,"P3, ",1,"CONN, DB15HD, BLUE (VGA)"
"R7, ",1,270,,"P4, ",1,"JACK,, RT ANG, RCA"
"R8, ",1,150,,,,
"R13, ",1,16K,,,,
"R19, R20, ",2,47,,,,
"U1, ",1,RPi-PICO,,,,
