GP,FUNCTION,PICO PIN,,GP,FUNCTION,PICO PIN
GP0,J8-2 (I2C0_SDA) ,1,,GP16,VGA_HSYNC,21
GP1,J8-1 (I2C0_SCL) ,2,,GP17,VGA_VSYNC,22
GND,,3,,GND,,23
GP2,MCP23017_INTA (H2),4,,GP18,VGA_BLU,24
GP3,SPARE,5,,GP19,VGA_GRN_LO,25
GP4,SPARE,6,,GP20,VGA_GRN_HI,26
GP5,SPARE,7,,GP21,VGA_RED,27
GND,,8,,GND,,28
GP6,AUDIO-L,9,,GP22,SPARE,29
GP7,AUDIO-R,10,,RUN,,30
GP8,PS2_CLK,11,,GP26,SPARE,31
GP9,PS2_DATA,12,,GP27,SPARE,32
GND,,13,,GND,,33
GP10,SD_SCK,14,,GP28,SPARE,34
GP11,SD_MOSI,15,,ADCREF,,35
GP12,SD_MISO,16,,3.3V,POWER_3.3V,36
GP13,SD_SLVSEL,17,,VEN3,,37
GND,,18,,GND,,38
GP14,I2C1_SDA (MCP23017),19,,VSYS,PS2_5V,39
GP15,I2C1_SCL (MCP23017),20,,VBUS,,40
