"Find","Qty","Ref Des","Part Number"
"1","4","C1, C2, C3, C4","0.1uF"
"2","2","C5, C6","47nF"
"3","2","C7, C8","47uF"
"4","1","D1","D_Schottky"
"5","1","D2","D_Schottky"
"6","1","H1","Header, Vert, 2x2"
"7","1","J1","Conn_01x02"
"8","1","J2","USB-B"
"9","2","J3, J5","Socket, Female. 1x20"
"10","1","J4","Header, Vert, 2x3"
"11","1","J6","Header, Vert, 2x8"
"12","1","J7","AudioJack3"
"13","1","J8","PS2_DIN6"
"14","1","J9","Header, Vert, 2x10"
"15","1","J10","CONN, DB15HD, BLUE (VGA)"
"16","4","MTG1, MTG2, MTG3, MTG4","MTG_HOLE"
"17","6","R1, R2, R10, R11, R13, R14","2.2K"
"18","2","R3, R4","270"
"19","1","R5","390"
"20","2","R6, R8","47"
"21","1","R7","820"
"22","2","R9, R12","1K"
"23","2","R15, R16","10K"
"24","1","SD1","[http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf Conn, SD Card]"
"25","1","TEST1","COUPON"
"26","1","U1","[DOCUMENTATION RPi-PICO]"
"27","1","U2","[http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf MCP23017_SP]"
"28","1","U3","[DOCUMENTATION TXS0104]"
