P1,Chip,Port,Bit,DB37RIB,LED,LED-32 pin,Color,,P1,Chip,Port,Bit,DB37RIB,LED,LED-32 pin,Color
1,,,GND,1,,39,BLK,,20,,,GND,2,,40,BLK
2,0,B,7,3,D15,35,WHT,,21,0,A,0,4,D31,36,BRN
3,0,B,6,5,D14,33,GRY,,22,0,A,1,6,D30,34,ORA
4,0,B,5,7,D13,31,VIO,,23,0,A,2,8,D29,32,YEL
5,0,B,4,9,D12,29,BLU,,24,0,A,3,10,D28,30,GRN
6,0,B,3,11,D11,27,GRN,,25,0,A,4,12,D27,28,BLU
7,0,B,2,13,D10,25,YEL,,26,0,A,5,14,D26,26,VIO
8,0,B,1,15,D9,23,ORA,,27,0,A,6,16,D25,24,GRY
9,0,B,0,17,D8,21,BRN,,28,0,A,7,18,D24,22,WHT
10,,,N/C,19,,,,,29,1,B,7,20,D23,20,WHT
11,1,A,0,21,D0,5,BRN,,30,1,B,6,22,D22,18,GRY
12,1,A,1,23,D1,7,ORA,,31,1,B,5,24,D21,16,VIO
13,1,A,2,25,D2,9,YEL,,32,1,B,4,26,D20,14,BLU
14,1,A,3,27,D3,11,GRN,,33,1,B,3,28,D19,12,GRN
15,1,A,4,29,D4,13,BLU,,34,1,B,2,30,D18,10,YEL
16,1,A,5,31,D5,15,VIO,,35,1,B,1,32,D17,8,ORA
17,1,A,6,33,D6,17,GRY,,36,1,B,0,34,D16,6,BRN
18,1,A,7,35,D7,19,WHT,,37,,,+3.3V,36,D15,,
19,,,+3.3V,37,,,,,,,,,,,,
